"hyperedge_id","protein_id"
"14-3-3","14-3-3"
"14-3-3","17-beta-HSD 1"
"14-3-3","4-1BB"
"14-3-3","4-1BB ligand"
"14-3-3","40S ribosomal protein SA"
"14-3-3","4EBP2"
"14-3-3","ABL1"
"14-3-3","ABL2"
"14-3-3","ACE2"
"14-3-3","ACTH"
"14-3-3","ADAM12"
"14-3-3","ADAMTS-4"
"14-3-3","ADAMTS-5"
"14-3-3","AGR2"
"14-3-3","ALK-1"
"14-3-3","AMHR2"
"14-3-3","AMNLS"
"14-3-3","AMPK a1b1g1"
"14-3-3","AMPK a2b2g1"
"14-3-3","ANGL3"
"14-3-3","ANGL4"
"14-3-3","ANR63"
"14-3-3","ARI3A"
"14-3-3","ARMEL"
"14-3-3","ARP19"
"14-3-3","ARSB"
"14-3-3","ASM3A"
"14-3-3","ATP synthase beta chain"
"14-3-3","ATS1"
"14-3-3","ATS15"
"14-3-3","Activated Protein C"
"14-3-3","Activin AB"
"14-3-3","Activin RIB"
"14-3-3","Adiponectin"
"14-3-3","Afamin"
"14-3-3","Aggrecan"
"14-3-3","Albumin"
"14-3-3","Alkaline phosphatase, bone"
"14-3-3","Angiogenin"
"14-3-3","Angiotensinogen"
"14-3-3","Apo A-I"
"14-3-3","Apo E"
"14-3-3","Apo E2"
"14-3-3","Apo E3"
"14-3-3","Artemin"
"14-3-3","Arylsulfatase A"
"14-3-3","Aurora kinase A"
"14-3-3","Azurocidin"
"14-3-3","B7"
"14-3-3","B7-H2"
"14-3-3","BAFF"
"14-3-3","BARK1"
"14-3-3","BASI"
"14-3-3","BCAM"
"14-3-3","BCAR3"
"14-3-3","BFL1"
"14-3-3","BGH3"
"14-3-3","BLC"
"14-3-3","BMP RII"
"14-3-3","BMP10"
"14-3-3","BMPER"
"14-3-3","BMPR1A"
"14-3-3","BMX"
"14-3-3","BNP"
"14-3-3","BNP-32"
"14-3-3","BPSA"
"14-3-3","BRF-1"
"14-3-3","BSP"
"14-3-3","Bcl-2"
"14-3-3","Bone proteoglycan II"
"14-3-3","C1QBP"
"14-3-3","C1q"
"14-3-3","C1r"
"14-3-3","C2"
"14-3-3","C34 gp41 HIV Fragment"
"14-3-3","C4"
"14-3-3","C4b"
"14-3-3","C5"
"14-3-3","C5b, 6 Complex"
"14-3-3","C8"
"14-3-3","CAD15"
"14-3-3","CAMK1"
"14-3-3","CATC"
"14-3-3","CATE"
"14-3-3","CBG"
"14-3-3","CBPE"
"14-3-3","CD109"
"14-3-3","CD22"
"14-3-3","CD27"
"14-3-3","CD30"
"14-3-3","CD30 Ligand"
"14-3-3","CD39"
"14-3-3","CD70"
"14-3-3","CD97"
"14-3-3","CDK1/cyclin B"
"14-3-3","CDK2/cyclin A"
"14-3-3","CDK5/p35"
"14-3-3","CDK8/cyclin C"
"14-3-3","CFC1"
"14-3-3","CG073"
"14-3-3","CHK1"
"14-3-3","CHL1"
"14-3-3","CHST2"
"14-3-3","CHST6"
"14-3-3","CK-BB"
"14-3-3","CK-MB"
"14-3-3","CK094"
"14-3-3","CK2-A1:B"
"14-3-3","CK2-A2:B"
"14-3-3","CLC1B"
"14-3-3","CLC4K"
"14-3-3","CLC7A"
"14-3-3","CLF-1/CLC Complex"
"14-3-3","CNTF"
"14-3-3","CNTN2"
"14-3-3","COLEC12"
"14-3-3","COX-2"
"14-3-3","CRDL1"
"14-3-3","CRIS3"
"14-3-3","CS084"
"14-3-3","CSF-1"
"14-3-3","CSK"
"14-3-3","CSK21"
