"hyperedge_id","protein_id"
"14-3-3","14-3-3"
"14-3-3","4-1BB"
"14-3-3","4-1BB ligand"
"14-3-3","40S ribosomal protein SA"
"14-3-3","ABL1"
"14-3-3","ABL2"
"14-3-3","ACTH"
"14-3-3","ADAM12"
"14-3-3","ADAMTS-5"
"14-3-3","AGR2"
"14-3-3","AIP"
"14-3-3","ALT"
"14-3-3","AMHR2"
"14-3-3","AMPK a1b1g1"
"14-3-3","AMPM2"
"14-3-3","ANGL4"
"14-3-3","ANR63"
"14-3-3","ARI3A"
"14-3-3","ARMEL"
"14-3-3","ARP19"
"14-3-3","ARTS1"
"14-3-3","ASM3A"
"14-3-3","ATP synthase beta chain"
"14-3-3","Activin AB"
"14-3-3","Afamin"
"14-3-3","Aflatoxin B1 aldehyde reductase"
"14-3-3","Alkaline phosphatase, liver"
"14-3-3","Angiopoietin-1"
"14-3-3","Angiopoietin-4"
"14-3-3","Angiostatin"
"14-3-3","Angiotensinogen"
"14-3-3","Antithrombin III"
"14-3-3","Apo D"
"14-3-3","Apo E"
"14-3-3","Apo E3"
"14-3-3","Apo E4"
"14-3-3","Artemin"
"14-3-3","Aurora kinase A"
"14-3-3","B7"
"14-3-3","B7-2"
"14-3-3","B7-H1"
"14-3-3","B7-H2"
"14-3-3","BAFF"
"14-3-3","BAFF Receptor"
"14-3-3","BASI"
"14-3-3","BCAM"
"14-3-3","BCAR3"
"14-3-3","BCL2-like 1 protein"
"14-3-3","BCMA"
"14-3-3","BMP-14"
"14-3-3","BMP-6"
"14-3-3","BMP10"
"14-3-3","BNP"
"14-3-3","BNP-32"
"14-3-3","BPSA"
"14-3-3","BSSP4"
"14-3-3","BST1"
"14-3-3","BTG"
"14-3-3","BTK"
"14-3-3","Bone proteoglycan II"
"14-3-3","C1QBP"
"14-3-3","C1r"
"14-3-3","C1s"
"14-3-3","C2"
"14-3-3","C3"
"14-3-3","C3adesArg"
"14-3-3","C4"
"14-3-3","C4b"
"14-3-3","C5a"
"14-3-3","C6"
"14-3-3","C9"
"14-3-3","CAMK1"
"14-3-3","CAMK1D"
"14-3-3","CAMK2A"
"14-3-3","CAMK2B"
"14-3-3","CAMK2D"
"14-3-3","CATE"
"14-3-3","CBG"
"14-3-3","CBPE"
"14-3-3","CD22"
"14-3-3","CD226"
"14-3-3","CD23"
"14-3-3","CD27"
"14-3-3","CD30"
"14-3-3","CD36 ANTIGEN"
"14-3-3","CD48"
"14-3-3","CDK1/cyclin B"
"14-3-3","CDK2/cyclin A"
"14-3-3","CDK8/cyclin C"
"14-3-3","CFC1"
"14-3-3","CG073"
"14-3-3","CHK1"
"14-3-3","CK094"
"14-3-3","CK2-A1:B"
"14-3-3","CKAP2"
"14-3-3","CLF-1/CLC Complex"
"14-3-3","CNDP1"
"14-3-3","CNTFR alpha"
"14-3-3","CO8A1"
"14-3-3","COLEC12"
"14-3-3","CONA1"
"14-3-3","CRIS3"
"14-3-3","CRK"
"14-3-3","CRP"
"14-3-3","CRTAM"
"14-3-3","CS084"
"14-3-3","CSK"
"14-3-3","CTAP-III"
"14-3-3","CTGF"
"14-3-3","CYTN"
"14-3-3","CYTT"
"14-3-3","Cadherin E"
"14-3-3","Cadherin-6"
"14-3-3","Calcineurin"
"14-3-3","Calcineurin B a"
"14-3-3","Calpain I"
"14-3-3","Calpastatin"
"14-3-3","Carbonic anhydrase 9"
"14-3-3","Carbonic anhydrase VII"
"14-3-3","Caspase-10"
"14-3-3","Caspase-2"
"14-3-3","Cathepsin A"
