"hyperedge_id","protein_id"
"14-3-3","14-3-3"
"14-3-3","17-beta-HSD 1"
"14-3-3","3HIDH"
"14-3-3","4-1BB"
"14-3-3","41"
"14-3-3","4EBP2"
"14-3-3","ABL2"
"14-3-3","ACTH"
"14-3-3","AGR2"
"14-3-3","AK1A1"
"14-3-3","ALK-1"
"14-3-3","AMPK a2b2g1"
"14-3-3","AN32B"
"14-3-3","ANGL4"
"14-3-3","ANR63"
"14-3-3","ARGI1"
"14-3-3","ARMEL"
"14-3-3","ARSB"
"14-3-3","ARTS1"
"14-3-3","ASAHL"
"14-3-3","ASGR1"
"14-3-3","ATS13"
"14-3-3","AURKB"
"14-3-3","Activated Protein C"
"14-3-3","Activin A"
"14-3-3","Aggrecan"
"14-3-3","Alkaline phosphatase, liver"
"14-3-3","Aminoacylase-1"
"14-3-3","Angiogenin"
"14-3-3","Angiostatin"
"14-3-3","Angiotensinogen"
"14-3-3","Antithrombin III"
"14-3-3","Apo D"
"14-3-3","Apo E2"
"14-3-3","B7"
"14-3-3","BAFF"
"14-3-3","BARK1"
"14-3-3","BASI"
"14-3-3","BCAR3"
"14-3-3","BCL2-like 1 protein"
"14-3-3","BLC"
"14-3-3","BMP RII"
"14-3-3","BMP-6"
"14-3-3","BMX"
"14-3-3","BNP"
"14-3-3","BPSA"
"14-3-3","BRF-1"
"14-3-3","BSP"
"14-3-3","BTG"
"14-3-3","BTK"
"14-3-3","C2"
"14-3-3","C3"
"14-3-3","C34 gp41 HIV Fragment"
"14-3-3","C3a"
"14-3-3","C3adesArg"
"14-3-3","C4b"
"14-3-3","C7"
"14-3-3","C8"
"14-3-3","C9"
"14-3-3","CAD15"
"14-3-3","CAMK1"
"14-3-3","CAMK2A"
"14-3-3","CAMK2B"
"14-3-3","CAMK2D"
"14-3-3","CATC"
"14-3-3","CATZ"
"14-3-3","CBPE"
"14-3-3","CD109"
"14-3-3","CD39"
"14-3-3","CD70"
"14-3-3","CD97"
"14-3-3","CDK5/p35"
"14-3-3","CFC1"
"14-3-3","CG073"
"14-3-3","CHK1"
"14-3-3","CHL1"
"14-3-3","CHST6"
"14-3-3","CK-BB"
"14-3-3","CK-MB"
"14-3-3","CK094"
"14-3-3","CK2-A1:B"
"14-3-3","CK2-A2:B"
"14-3-3","CLC1B"
"14-3-3","CLC7A"
"14-3-3","CNDP1"
"14-3-3","CNTN2"
"14-3-3","COLEC12"
"14-3-3","COMMD7"
"14-3-3","COX-2"
"14-3-3","CRDL1"
"14-3-3","CRK"
"14-3-3","CRP"
"14-3-3","CS084"
"14-3-3","CSK"
"14-3-3","CTACK"
"14-3-3","CTLA-4"
"14-3-3","Cadherin-2"
"14-3-3","Cadherin-6"
"14-3-3","Calcineurin B a"
"14-3-3","Calpain I"
"14-3-3","Carbonic Anhydrase IV"
"14-3-3","Carbonic Anhydrase X"
"14-3-3","Carbonic anhydrase XIII"
"14-3-3","Cardiotrophin-1"
"14-3-3","Caspase-10"
"14-3-3","Caspase-3"
"14-3-3","Catalase"
"14-3-3","Cathepsin B"
"14-3-3","Cathepsin D"
"14-3-3","Cathepsin G"
"14-3-3","Chitotriosidase-1"
"14-3-3","Chk2"
"14-3-3","Ck-b-8-1"
"14-3-3","Clusterin"
"14-3-3","Coagulation Factor X"
"14-3-3","Coagulation Factor XI"
"14-3-3","Cofilin-1"
"14-3-3","Collectin Kidney 1"
"14-3-3","Contactin-5"
"14-3-3","Corticotropin-lipotropin"
"14-3-3","Cyclin B1"
