"hyperedge_id","protein_id"
"14-3-3","14-3-3"
"14-3-3","17-beta-HSD 1"
"14-3-3","3HIDH"
"14-3-3","4-1BB"
"14-3-3","40S ribosomal protein SA"
"14-3-3","4EBP2"
"14-3-3","6Ckine"
"14-3-3","ABL2"
"14-3-3","ADAM 9"
"14-3-3","ADAMTS-4"
"14-3-3","AGR2"
"14-3-3","AIF1"
"14-3-3","AK1A1"
"14-3-3","ALCAM"
"14-3-3","ALT"
"14-3-3","AMNLS"
"14-3-3","AMPK a2b2g1"
"14-3-3","AN32B"
"14-3-3","ANGL4"
"14-3-3","ARGI1"
"14-3-3","ARP19"
"14-3-3","ASAH2"
"14-3-3","ASAHL"
"14-3-3","ASM3A"
"14-3-3","AURKB"
"14-3-3","Activin AB"
"14-3-3","Activin RIB"
"14-3-3","Aminoacylase-1"
"14-3-3","Angiopoietin-1"
"14-3-3","Angiopoietin-4"
"14-3-3","Angiostatin"
"14-3-3","Antithrombin III"
"14-3-3","Apo E"
"14-3-3","Apo E2"
"14-3-3","Apo E3"
"14-3-3","Apo E4"
"14-3-3","Artemin"
"14-3-3","Arylsulfatase A"
"14-3-3","Azurocidin"
"14-3-3","B7"
"14-3-3","B7-H2"
"14-3-3","BARK1"
"14-3-3","BCAR3"
"14-3-3","BCL2-like 1 protein"
"14-3-3","BDNF"
"14-3-3","BGH3"
"14-3-3","BLC"
"14-3-3","BMP-14"
"14-3-3","BMP-6"
"14-3-3","BMP-7"
"14-3-3","BMP10"
"14-3-3","BMPER"
"14-3-3","BMPR1A"
"14-3-3","BRF-1"
"14-3-3","BSP"
"14-3-3","BSSP4"
"14-3-3","BST1"
"14-3-3","BTK"
"14-3-3","Bcl-2"
"14-3-3","C1-Esterase Inhibitor"
"14-3-3","C3"
"14-3-3","C34 gp41 HIV Fragment"
"14-3-3","C3a"
"14-3-3","C3b"
"14-3-3","C3d"
"14-3-3","C4"
"14-3-3","C4b"
"14-3-3","C8"
"14-3-3","CAD15"
"14-3-3","CAMK1"
"14-3-3","CAMK1D"
"14-3-3","CATZ"
"14-3-3","CBG"
"14-3-3","CBPE"
"14-3-3","CBX5"
"14-3-3","CD226"
"14-3-3","CD27"
"14-3-3","CD39"
"14-3-3","CD48"
"14-3-3","CD97"
"14-3-3","CDC37"
"14-3-3","CDK2/cyclin A"
"14-3-3","CDK5/p35"
"14-3-3","CDON"
"14-3-3","CHK1"
"14-3-3","CHL1"
"14-3-3","CHST2"
"14-3-3","CHST6"
"14-3-3","CK-MB"
"14-3-3","CK-MM"
"14-3-3","CK2-A1:B"
"14-3-3","CK2-A2:B"
"14-3-3","CLC1B"
"14-3-3","CLC7A"
"14-3-3","CLM6"
"14-3-3","CNDP1"
"14-3-3","CNTF"
"14-3-3","CNTFR alpha"
"14-3-3","CNTN2"
"14-3-3","COLEC12"
"14-3-3","CONA1"
"14-3-3","COX-2"
"14-3-3","CPNE1"
"14-3-3","CRK"
"14-3-3","CSK"
"14-3-3","CSK21"
"14-3-3","CTAP-III"
"14-3-3","CXCL16, soluble"
"14-3-3","CYTN"
"14-3-3","CYTT"
"14-3-3","CaMKK alpha"
"14-3-3","Cadherin-5"
"14-3-3","Calcineurin"
"14-3-3","Calcineurin B a"
"14-3-3","Calpain I"
"14-3-3","Carbonic Anhydrase X"
"14-3-3","Carbonic anhydrase 9"
"14-3-3","Carbonic anhydrase I"
"14-3-3","Carbonic anhydrase III"
"14-3-3","Carbonic anhydrase XIII"
