"hyperedge_id","protein_id"
"14-3-3","14-3-3"
"14-3-3","17-beta-HSD 1"
"14-3-3","4-1BB"
"14-3-3","4-1BB ligand"
"14-3-3","4EBP2"
"14-3-3","6Ckine"
"14-3-3","ABL2"
"14-3-3","ACE2"
"14-3-3","ACTH"
"14-3-3","ADAMTS-4"
"14-3-3","ADAMTS-5"
"14-3-3","AGR2"
"14-3-3","AIF1"
"14-3-3","AK1A1"
"14-3-3","ALCAM"
"14-3-3","ALT"
"14-3-3","AMPK a1b1g1"
"14-3-3","AMPK a2b2g1"
"14-3-3","ANGL4"
"14-3-3","AREG"
"14-3-3","ARGI1"
"14-3-3","ARI3A"
"14-3-3","ARMEL"
"14-3-3","ARP19"
"14-3-3","ART"
"14-3-3","ARTS1"
"14-3-3","ATS1"
"14-3-3","AURKB"
"14-3-3","Activin AB"
"14-3-3","Activin RIB"
"14-3-3","Aflatoxin B1 aldehyde reductase"
"14-3-3","Albumin"
"14-3-3","Alkaline phosphatase, bone"
"14-3-3","Angiopoietin-1"
"14-3-3","Angiopoietin-2"
"14-3-3","Angiopoietin-4"
"14-3-3","Angiostatin"
"14-3-3","Angiotensinogen"
"14-3-3","Antithrombin III"
"14-3-3","Apo A-I"
"14-3-3","Artemin"
"14-3-3","Aurora kinase A"
"14-3-3","Azurocidin"
"14-3-3","B7"
"14-3-3","B7-2"
"14-3-3","B7-H2"
"14-3-3","BARK1"
"14-3-3","BCAM"
"14-3-3","BCAR3"
"14-3-3","BCL2-like 1 protein"
"14-3-3","BDNF"
"14-3-3","BGH3"
"14-3-3","BMP RII"
"14-3-3","BMP-1"
"14-3-3","BMP-6"
"14-3-3","BMP10"
"14-3-3","BMPER"
"14-3-3","BMPR1A"
"14-3-3","BMX"
"14-3-3","BOC"
"14-3-3","BPI"
"14-3-3","BSSP4"
"14-3-3","BTK"
"14-3-3","Bcl-2"
"14-3-3","Bone proteoglycan II"
"14-3-3","C1-Esterase Inhibitor"
"14-3-3","C1QBP"
"14-3-3","C34 gp41 HIV Fragment"
"14-3-3","C3adesArg"
"14-3-3","C8"
"14-3-3","C9"
"14-3-3","CAD15"
"14-3-3","CAMK1"
"14-3-3","CAMK1D"
"14-3-3","CAMK2A"
"14-3-3","CAMK2B"
"14-3-3","CAMK2D"
"14-3-3","CATC"
"14-3-3","CBPE"
"14-3-3","CBX5"
"14-3-3","CD226"
"14-3-3","CD30"
"14-3-3","CD30 Ligand"
"14-3-3","CD39"
"14-3-3","CD40 ligand, soluble"
"14-3-3","CD48"
"14-3-3","CD97"
"14-3-3","CDC37"
"14-3-3","CDK1/cyclin B"
"14-3-3","CDK2/cyclin A"
"14-3-3","CDK5/p35"
"14-3-3","CHK1"
"14-3-3","CHL1"
"14-3-3","CHST2"
"14-3-3","CHST6"
"14-3-3","CK2-A1:B"
"14-3-3","CK2-A2:B"
"14-3-3","CLC1B"
"14-3-3","CLC4K"
"14-3-3","CLC7A"
"14-3-3","CLF-1/CLC Complex"
"14-3-3","CLM6"
"14-3-3","CNDP1"
"14-3-3","CNTF"
"14-3-3","CNTFR alpha"
"14-3-3","CNTN2"
"14-3-3","COLEC12"
"14-3-3","COMMD7"
"14-3-3","CONA1"
"14-3-3","COX-2"
"14-3-3","CPNE1"
"14-3-3","CRDL1"
"14-3-3","CRK"
"14-3-3","CRTAM"
"14-3-3","CSK"
"14-3-3","CSK21"
"14-3-3","CTACK"
"14-3-3","CTAP-III"
"14-3-3","CTGF"
"14-3-3","CTLA-4"
