"target","mean_log2rfu_Second_Control","mean_log2rfu_Second_PPROM","mean_log2rfu_Second_sPTD","mean_log2rfu_Third_Control","mean_log2rfu_Third_PPROM","mean_log2rfu_Third_sPTD","median_log2rfu_Second_Control","median_log2rfu_Second_PPROM","median_log2rfu_Second_sPTD","median_log2rfu_Third_Control","median_log2rfu_Third_PPROM","median_log2rfu_Third_sPTD","sd_log2rfu_Second_Control","sd_log2rfu_Second_PPROM","sd_log2rfu_Second_sPTD","sd_log2rfu_Third_Control","sd_log2rfu_Third_PPROM","sd_log2rfu_Third_sPTD","se_log2rfu_Second_Control","se_log2rfu_Second_PPROM","se_log2rfu_Second_sPTD","se_log2rfu_Third_Control","se_log2rfu_Third_PPROM","se_log2rfu_Third_sPTD","iqr_25_Second_Control","iqr_25_Second_PPROM","iqr_25_Second_sPTD","iqr_25_Third_Control","iqr_25_Third_PPROM","iqr_25_Third_sPTD","iqr_75_Second_Control","iqr_75_Second_PPROM","iqr_75_Second_sPTD","iqr_75_Third_Control","iqr_75_Third_PPROM","iqr_75_Third_sPTD"
"14-3-3",0.826509031978168,0.837844209523181,0.836105079637742,0.843146360088302,0.870307235614711,0.859884605790047,0.827322306006453,0.837483077890742,0.837770798684847,0.842363997972571,0.87203771789476,0.861670108554948,0.0128044561032227,0.00564867527586858,0.0137621959162084,0.0120706683482653,0.0122861006881675,0.0137939301444484,0.000731982035074018,0.00282433763793429,0.00174780062915997,0.000748591072445723,0.00614305034408377,0.0017518308801767,0.819616929996181,0.833957338179752,0.827716433615803,0.834492420661984,0.865852421028478,0.851803827574953,0.834040958844192,0.841369949234171,0.845025864684229,0.851797411578791,0.876492532480993,0.868788646513825
"17-beta-HSD 1",1.03933057347204,1.03416712189264,1.04575542375853,1.04749392127471,1.03781811926862,1.04819040064849,1.0388661894484,1.03416514249434,1.04517251923552,1.0461409771449,1.0384435279671,1.04830949337499,0.00905086664615922,0.00114866454037955,0.00446690576009617,0.00935531390158112,0.00409312479187855,0.00443701461996822,0.000517403608043277,0.000574332270189776,0.000567297598830096,0.000580191938390673,0.00204656239593928,0.000563501420237666,1.03493349628928,1.03321985723685,1.04296657396997,1.04300127784952,1.03565086615287,1.0453966127295,1.04221087433885,1.03511240715012,1.04688117098816,1.04990736233994,1.04061078108286,1.05009098203137
"3HIDH",1.02501565175765,1.0547136645905,1.02176889189164,1.02303343866891,1.03468660656771,1.01368261964652,1.02215373230313,1.05269867446775,1.020257478044,1.02019198493146,1.03109576077011,1.01214929774914,0.0115884387159003,0.00687113521821328,0.00548119958437626,0.0103341580609046,0.00948355258716026,0.00697580345843347,0.000662466947929188,0.00343556760910664,0.000696113043329177,0.000640897276143614,0.00474177629358013,0.000885927925149418,1.01907070894349,1.05127491250781,1.01855862876874,1.01716375696915,1.03023766984423,1.00888697704763,1.02666551915345,1.05613742655044,1.02363761506942,1.02479423380333,1.03554469749359,1.01628598070447
"4-1BB",1.01223510338947,0.983925169901189,0.998451757572738,1.01034006213062,0.975572401102871,0.991096353785646,1.01117636471016,0.984028131345671,0.998079946882528,1.00927379777571,0.976394214421802,0.990609393636208,0.00570773562019399,0.0022118902015433,0.00320382715590287,0.00510840180195993,0.00247339051741068,0.00346599624888431,0.00032628952774359,0.00110594510077165,0.000406886455686323,0.000316809630840567,0.00123669525870534,0.000440181963790491,1.0087093737136,0.983118210294926,0.996341507416936,1.00708824752964,0.974743630168627,0.989073637378364,1.01494661899133,0.984835090951934,0.999465058702918,1.01282456192292,0.977222985356046,0.992480581795806
"4-1BB ligand",1.03802857621161,1.02317128762171,1.03102539362207,1.03674708309471,1.01123442107238,1.02996929957889,1.03493592283015,1.02307648334555,1.03041628731871,1.03392961689475,1.01145173992059,1.02925180828486,0.0144888539593044,0.000782839607552407,0.00382063694561046,0.0123570298937802,0.0017406997332304,0.00479073592240352,0.000828272651452382,0.000391419803776204,0.000485221377314148,0.000766350461592969,0.000870349866615198,0.000608424070569621,1.0305307326487,1.02269061400076,1.02910578804806,1.03021448141245,1.01064960258704,1.02739933640485,1.04009657920431,1.02355715696651,1.03186549554669,1.0381821438253,1.01203655840593,1.03099701353283
"40S ribosomal protein SA",1.05223164121386,1.06053014743346,1.04756605051566,1.05255641371299,1.06945527179115,1.04635172519421,1.05052488771415,1.05731863218698,1.04766642909633,1.05113632722621,1.0673658790738,1.04612025226196,0.00940090239362381,0.00798531310309366,0.00438373154828308,0.00826194133330774,0.00923590751744278,0.00417337975826454,0.000537413819856436,0.00399265655154683,0.000556734463366693,0.000512383850234218,0.00461795375872139,0.000530019759319621,1.04741800335688,1.05532445799799,1.04539698839815,1.04790523073611,1.06472549029322,1.04425479334916,1.05364549770378,1.06252432162244,1.04950740726221,1.05511805562797,1.07209566057173,1.04872596325594
"41",1.00317331647797,0.995629696056629,1.00520564977801,0.997942553717189,1.02461097706232,1.02940205246281,1.00321195109345,0.995853042017129,1.00485873258101,0.997679770497871,1.02496993039855,1.02905470006429,0.00656412489511701,0.00091583143130291,0.00387422240526672,0.00686500294606059,0.0024809892190371,0.00475536286615826,0.000375246044070429,0.000457915715651455,0.000492026737495857,0.00042574940918438,0.00124049460951855,0.000603931687934088,0.999409593867055,0.995411800880856,1.00319800013515,0.993816956456591,1.02370254773053,1.02655817018174,1.00658163603504,0.996070937192902,1.00704408737651,1.00182064514722,1.02587835973034,1.03103714971807
"4EBP2",1.03736075871754,1.0264691345712,1.02599992946122,1.03915777798661,1.05867901650589,1.03347613983495,1.035747283879,1.02676474753965,1.02568013917807,1.03749664321275,1.06000649592066,1.03328203919461,0.00976750484331391,0.00317677011603697,0.00419629279342354,0.00842323898322202,0.00481429274587745,0.00482752921540201,0.000558371087000313,0.00158838505801849,0.000532929717694773,0.000522387105832709,0.00240714637293872,0.000613096823453185,1.03264339125698,1.02533744002229,1.02327942282793,1.03495860796988,1.05649091469561,1.02996399237763,1.03906127810569,1.02789644208855,1.02752825092749,1.0406977659537,1.06219459773094,1.03662230343713
"6-Phosphogluconate dehydrogenase",0.990469552209888,0.996027801919344,0.961046313847204,0.973409738207927,0.971402246720259,0.977559828048073,0.993109434889898,0.996032387307441,0.961911720915362,0.977338889768941,0.972314091728861,0.976908744718818,0.0165093696473152,0.00245147581877345,0.00649662064509424,0.019404025111085,0.00784846074387144,0.00582036897773035,0.000943777845369748,0.00122573790938672,0.000825071646999029,0.00120338655230788,0.00392423037193572,0.000739187599359724,0.984424141927267,0.994803882340944,0.956666304882464,0.96515741046974,0.966640208762168,0.974344427198266,1.00173338811949,0.997256306885841,0.966054981241975,0.985698024704863,0.977076129686952,0.980927673297148
"6Ckine",1.01065854381163,1.02823697783097,1.01477538264047,1.01535141122826,1.00927293665708,1.00952058570848,1.01051722389176,1.02807128889041,1.01462331260993,1.01536177393912,1.00962944309626,1.00921619508443,0.00598513013140743,0.00273937114351069,0.00287376575350506,0.00587398884049159,0.00498233416982015,0.00337941407784034,0.000342147116476724,0.00136968557175534,0.00036496861566394,0.000364289323405174,0.00249116708491007,0.000429186017071954,1.00650568479771,1.02706201197863,1.01335629082504,1.01153695877334,1.00753443073773,1.00796470168947,1.01441727069713,1.02924625474275,1.01657526829584,1.01843832900484,1.01136794901562,1.01145268580255
