"","Predictor","Coefficient","OddsRatio","PercentChangeOdds"
"(Intercept)","(Intercept)",-113.633177946669,4.46414051980004e-50,-100
"`40S ribosomal protein SA`","40S ribosomal protein SA",-4.21388702534849,0.0147887721394839,-98.5211227860516
"ABL1","ABL1",-4.22591460601203,0.014611964405753,-98.5388035594247
"ALT","ALT",-3.19670206867223,0.0408968568437628,-95.9103143156237
"`AMPK a1b1g1`","AMPK a1b1g1",-15.4049586614894,2.04038188622993e-07,-99.9999795961811
"ARGI1","ARGI1",5.5570193851118,259.04955750438,25804.955750438
"ASGR1","ASGR1",-3.99879698487868,0.0183376861382022,-98.1662313861798
"`Activin RIB`","Activin RIB",-0.905495779886696,0.404341371082575,-59.5658628917425
"`Apo A-I`","Apo A-I",25.4569929649967,113718617317.34,11371861731634
"Artemin","Artemin",3.63041864922126,37.7286083638606,3672.86083638606
"`Arylsulfatase A`","Arylsulfatase A",8.69640800333988,5981.38845640661,598038.845640661
"BMPER","BMPER",10.8824905747343,53236.0232390031,5323502.32390031
"BMX","BMX",19.5873504503251,321128030.448687,32112802944.8687
"`BNP-32`","BNP-32",-16.2436530710439,8.82005118163622e-08,-99.9999911799488
"BSSP4","BSSP4",-7.66736860782082,0.000467847295096333,-99.9532152704904
"`C1-Esterase Inhibitor`","C1-Esterase Inhibitor",4.41184444378348,82.4213449300505,8142.13449300505
"C4","C4",-15.0338815694403,2.95711485402556e-07,-99.9999704288515
"CATE","CATE",-6.70764663365294,0.00122153546507377,-99.8778464534926
"CD70","CD70",-4.52836097622114,0.0107983603456915,-98.9201639654308
"`CK-MB`","CK-MB",17.7579115999271,51542207.8527969,5154220685.27969
"`CK2-A2:B`","CK2-A2:B",7.21546238683775,1360.30250866535,135930.250866535
"CLC4K","CLC4K",4.18206530703627,65.500993275408,6450.0993275408
"CNTF","CNTF",-10.7594107000119,2.12445386567816e-05,-99.9978755461343
"CNTN2","CNTN2",-10.4370507955334,2.93255679689144e-05,-99.9970674432031
"CRIS3","CRIS3",6.58770333958875,726.111322312646,72511.1322312646
"`Cadherin E`","Cadherin E",3.94942474104012,51.9054991413777,5090.54991413776
"`Cadherin-12`","Cadherin-12",0.555775285020065,1.74329200917223,74.3292009172226
