"","Predictor","Coefficient","OddsRatio","PercentChangeOdds"
"(Intercept)","(Intercept)",-261.695552949299,2.22364480137821e-114,-100
"`6-Phosphogluconate dehydrogenase`","6-Phosphogluconate dehydrogenase",-3.15425840892784,0.0426700329777093,-95.7329967022291
"ABL1","ABL1",-2.93004829648973,0.0533944593179673,-94.6605540682033
"ACE2","ACE2",-7.97068438903165,0.000345442487925226,-99.9654557512075
"`ADAMTS-5`","ADAMTS-5",3.70219383185194,40.5361363502942,3953.61363502943
"AMHR2","AMHR2",11.520237457986,100733.879091224,10073287.9091224
"AMNLS","AMNLS",-5.07385846342682,0.00625822635788508,-99.3741773642115
"AREG","AREG",2.62721649666319,13.8352059137075,1283.52059137075
"ARI3A","ARI3A",-1.45369527553255,0.233705085812484,-76.6294914187516
"ATS15","ATS15",15.2386100122165,4149963.14820358,414996214.820358
"AURKB","AURKB",1.19234426526164,3.29479603694013,229.479603694013
"`Alkaline phosphatase, bone`","Alkaline phosphatase, bone",0.816218253818814,2.26192959889007,126.192959889007
"`Angiopoietin-4`","Angiopoietin-4",-2.74806638319957,0.0640515927793251,-93.5948407220675
"`Arylsulfatase A`","Arylsulfatase A",5.09162286412311,162.653612692411,16165.3612692411
"Azurocidin","Azurocidin",5.92824228916067,375.493923691821,37449.3923691821
"BCAR3","BCAR3",4.0690969359878,58.5041057764478,5750.41057764478
"BNP","BNP",-0.83085573794543,0.435676302012327,-56.4323697987673
"`Bcl-2`","Bcl-2",6.21426316492827,499.827562994397,49882.7562994397
"C1q","C1q",-1.67124689202036,0.188012488151537,-81.1987511848463
"`C34 gp41 HIV Fragment`","C34 gp41 HIV Fragment",-5.08875317499567,0.00616570264887579,-99.3834297351124
"`CD40 ligand, soluble`","CD40 ligand, soluble",4.37820210307447,79.6946218085499,7869.46218085499
"CD70","CD70",-3.12253406531076,0.0440454129286387,-95.5954587071361
"CDC37","CDC37",2.83891596155153,17.0972214423005,1609.72214423005
"`CDK2/cyclin A`","CDK2/cyclin A",-1.72274925050758,0.178574526318569,-82.1425473681431
"`CDK5/p35`","CDK5/p35",4.34297845797478,76.9363501030346,7593.63501030346
"CG073","CG073",-1.84263944564649,0.158398788871153,-84.1601211128847
"CHST6","CHST6",-3.65458576570885,0.025872212421338,-97.4127787578662
"CLC4K","CLC4K",0.608487830067085,1.83765045691507,83.7650456915066
"`CLF-1/CLC Complex`","CLF-1/CLC Complex",10.5588642530399,38517.3571228341,3851635.71228341
"CNTF","CNTF",-6.20234987518712,0.00202466732638328,-99.7975332673617
"COLEC12","COLEC12",7.25333655708855,1412.81091708524,141181.091708524
"CONA1","CONA1",7.01513964591815,1113.36211183055,111236.211183055
"CPNE1","CPNE1",-5.40784923181908,0.00448126802271524,-99.5518731977285
"CS084","CS084",-4.80648435591163,0.00817655508428651,-99.1823444915714
"`CaMKK alpha`","CaMKK alpha",-0.23830283959656,0.787964028248896,-21.2035971751104
"`Cadherin-5`","Cadherin-5",8.23970073351611,3788.4063954465,378740.63954465
"`Carbonic anhydrase VII`","Carbonic anhydrase VII",2.03699148872518,7.66750668390767,666.750668390767
"`Cathepsin S`","Cathepsin S",-2.07742069387034,0.125252861387323,-87.4747138612677
"`Cyclin B1`","Cyclin B1",-2.51409431198877,0.0809361819515991,-91.9063818048401
"`Cyclophilin A`","Cyclophilin A",17.8385323330353,55869676.603024,5586967560.3024
"`Cyclophilin F`","Cyclophilin F",6.99699992890748,1093.34811114236,109234.811114236
"`D-dimer`","D-dimer",9.64676602761532,15471.6721505905,1547067.21505905
"`DC-SIGNR`","DC-SIGNR",0.597142120194574,1.81691883784098,81.691883784098
"DHH","DHH",1.88458410093341,6.58361575289898,558.361575289898
"DKK1","DKK1",3.9340294371857,51.1125179657883,5011.25179657883
"DRAK2","DRAK2",1.80204555957557,6.0620350441593,506.20350441593
"DSC3","DSC3",-8.07047990837449,0.000312633209762846,-99.9687366790237
"DcR3","DcR3",-5.29065570086927,0.00503845545670556,-99.4961544543294
"`EF-1-beta`","EF-1-beta",-0.430415443919522,0.650238900804416,-34.9761099195584
"`EG-VEGF`","EG-VEGF",2.56366187606651,12.9832735116964,1198.32735116964
"`ENA-78`","ENA-78",8.15818673309727,3491.84920520908,349084.920520908
"EPHA3","EPHA3",-2.35720416041437,0.0946845763663296,-90.531542363367
"ERBB4","ERBB4",-2.32650383100526,0.0976365047899851,-90.2363495210015
"`ERK-1`","ERK-1",2.59330816793256,13.3739417470054,1237.39417470054
"Endoglin","Endoglin",-10.4043146777758,3.03014595156466e-05,-99.9969698540484
"Enterokinase","Enterokinase",-1.51400248076198,0.22002755713667,-77.997244286333
"`Eotaxin-2`","Eotaxin-2",3.22277964957652,25.0977863639323,2409.77863639323
"`Ephrin-A4`","Ephrin-A4",-0.676029452460869,0.508632537979784,-49.1367462020216
"F229A","F229A",-3.34762788980396,0.0351676768412193,-96.4832323158781
"FABPE","FABPE",-3.19071194447719,0.04114256928475,-95.885743071525
"`FGF-12`","FGF-12",-12.0665505085247,5.74862128444243e-06,-99.9994251378716
"`FGF-16`","FGF-16",1.79103976990667,5.99568335760034,499.568335760034
"`FGF-17`","FGF-17",5.06669101436542,158.648492250905,15764.8492250905
"`FGF-18`","FGF-18",3.58711201258672,36.1295833305465,3512.95833305465
"`FGF-6`","FGF-6",-3.27812062333655,0.0376990409691224,-96.2300959030878
"`FGF-8A`","FGF-8A",0.560186940859861,1.75099980311082,75.0999803110823
"FGF7","FGF7",3.64753534777603,38.3799561392258,3737.99561392258
"FLRT1","FLRT1",14.4225167613172,1834929.76093239,183492876.093239
"FSH","FSH",5.74672749565919,313.164150530981,31216.4150530981
"Fibrinogen","Fibrinogen",24.5952054837123,48035467618.4009,4803546761740.09
"`Flt-3`","Flt-3",6.38315000944695,591.788915382571,59078.8915382571
"`GA733-1 protein`","GA733-1 protein",-1.88384958253836,0.15200382673899,-84.799617326101
"GCKR","GCKR",5.86801196773021,353.545421443996,35254.5421443996
"`GDF-11`","GDF-11",0.0679648449669332,1.07032768041237,7.03276804123731
"GHC2","GHC2",4.28403825250262,72.532754968544,7153.2754968544
"GPC2","GPC2",-5.35335833845033,0.00473223184725449,-99.5267768152746
"GPNMB","GPNMB",-0.418975356906501,0.657720403333503,-34.2279596666497
"HMGR","HMGR",2.99602992315583,20.0059538780775,1900.59538780775
"`HPV E7 Type 16`","HPV E7 Type 16",-0.843135024637115,0.430359219594195,-56.9640780405805
"`HSP 40`","HSP 40",-1.5269712858981,0.21719248610124,-78.280751389876
"HVEM","HVEM",7.44488136173618,1711.08228027938,171008.228027938
"Hat1","Hat1",-3.40416601342744,0.0332345256754973,-96.6765474324503
"ICOS","ICOS",-0.21171993215218,0.809191294298058,-19.0808705701942
"IF4A3","IF4A3",-10.1014654105653,4.10194008972151e-05,-99.9958980599103
"`IFN-g`","IFN-g",7.17034741963109,1300.29627279137,129929.627279137
"`IFN-lambda 1`","IFN-lambda 1",1.23119072237666,3.42530569716061,242.530569716061
"`IFN-lambda 2`","IFN-lambda 2",-7.14037569822596,0.000792454316851341,-99.9207545683149
"`IL-1 sR9`","IL-1 sR9",9.63111709925029,15231.4416389163,1523044.16389163
"`IL-12`","IL-12",-1.1218741507434,0.32566886976485,-67.433113023515
"`IL-12 Rb1`","IL-12 Rb1",8.66533013722839,5798.35848835802,579735.848835802
"`IL-17`","IL-17",4.12627193462539,61.9465511257934,6094.65511257934
"`IL-17 RC`","IL-17 RC",5.95765110223006,386.70073612932,38570.073612932
"`IL-17 RD`","IL-17 RD",-0.939509151682089,0.390819621439523,-60.9180378560477
"`IL-17B`","IL-17B",7.94023882162664,2808.03104677012,280703.104677012
"`IL-2 sRg`","IL-2 sRg",-1.61934825403572,0.198027720802204,-80.1972279197796
"`IL-20 Ra`","IL-20 Ra",-9.4026145584396,8.25080611539889e-05,-99.9917491938846
