ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Trimester,Group
GO:0006935,chemotaxis,78/576,472/18986,0.1652542372881356,5.447078036723164,17.305544493195494,2.1102728105960461e-35,3.5129008053722185e-32,1.98661822836112e-32,PPIA/FGF1/PDGFB/FGF18/XCL1/PTPN2/ROBO3/IL10/BSG/CCL5/EPHA2/PPBP/BMPR2/CCL8/FGF10/CCL24/CSF1/PRKCD/CCL2/EFNA5/PPIB/CCL13/PTK2/NBL1/CCL20/VEGFA/KLRK1/ENG/TGFB2/PLAU/MET/UNC5C/NRP1/TNFRSF11A/MAPK3/VCAM1/FGF8/THBS1/ARTN/CTSG/GPNMB/MAPK1/S100A9/IL17RC/NTF3/CXCL5/SEMA3E/KDR/IL1B/HBEGF/TNFAIP6/IL6/SEMA6A/JAM3/SBDS/PLA2G1B/APOA1/FGF16/CCL7/PLAUR/MIF/CCL21/AZU1/CCL3L1/MMP2/IL34/FGF4/CX3CL1/TNFSF11/VEGFC/CCL1/FGF7/AIF1/CXCL16/KIT/SFTPD/DAPK2/CCL16,78,Second,Control
GO:0042330,taxis,78/576,474/18986,0.16455696202531644,5.424094585091421,17.253473916803046,2.86655095769307e-35,3.578888870679798e-32,2.0239358472343443e-32,PPIA/FGF1/PDGFB/FGF18/XCL1/PTPN2/ROBO3/IL10/BSG/CCL5/EPHA2/PPBP/BMPR2/CCL8/FGF10/CCL24/CSF1/PRKCD/CCL2/EFNA5/PPIB/CCL13/PTK2/NBL1/CCL20/VEGFA/KLRK1/ENG/TGFB2/PLAU/MET/UNC5C/NRP1/TNFRSF11A/MAPK3/VCAM1/FGF8/THBS1/ARTN/CTSG/GPNMB/MAPK1/S100A9/IL17RC/NTF3/CXCL5/SEMA3E/KDR/IL1B/HBEGF/TNFAIP6/IL6/SEMA6A/JAM3/SBDS/PLA2G1B/APOA1/FGF16/CCL7/PLAUR/MIF/CCL21/AZU1/CCL3L1/MMP2/IL34/FGF4/CX3CL1/TNFSF11/VEGFC/CCL1/FGF7/AIF1/CXCL16/KIT/SFTPD/DAPK2/CCL16,78,Second,Control
GO:0006935,chemotaxis,77/566,472/18986,0.163135593220339,5.472248008624304,17.247075017975316,4.393416595322994e-35,7.260853159870468e-32,4.1205623015081984e-32,PLAU/JAM3/MAPK3/THBS1/VEGFC/MAPK1/FGF7/AZU1/FGF8/SBDS/FGF16/AIF1/UNC5C/TNFSF11/MET/EFNA5/MIF/PRKCD/CCL1/PPIB/FGF4/PDGFB/VEGFA/EPHA2/TNFRSF11A/KDR/SEMA6A/CCL5/CXCL16/MMP2/KIT/IL1B/BMPR2/GPNMB/ENG/HBEGF/CCL3L1/PTPN2/SFTPD/CSF1/IL34/CX3CL1/CCL21/CCL8/CTSG/PLAUR/PLA2G1B/FGF18/FGF1/IL17RC/ROBO3/IL6/PPIA/APOA1/XCL1/BSG/CCL20/FGF10/CCL2/NBL1/CCL13/VCAM1/CCL24/S100A9/ARTN/TGFB2/KLRK1/NTF3/PTK2/CCL7/TNFAIP6/IL10/CXCL5/DAPK2/CCL16/SEMA3E/NRP1,77,Second,sPTD
GO:0042330,taxis,77/566,474/18986,0.16244725738396623,5.449158354579475,17.19527266781987,5.943763365431461e-35,7.367294691452296e-32,4.180968283104815e-32,PLAU/JAM3/MAPK3/THBS1/VEGFC/MAPK1/FGF7/AZU1/FGF8/SBDS/FGF16/AIF1/UNC5C/TNFSF11/MET/EFNA5/MIF/PRKCD/CCL1/PPIB/FGF4/PDGFB/VEGFA/EPHA2/TNFRSF11A/KDR/SEMA6A/CCL5/CXCL16/MMP2/KIT/IL1B/BMPR2/GPNMB/ENG/HBEGF/CCL3L1/PTPN2/SFTPD/CSF1/IL34/CX3CL1/CCL21/CCL8/CTSG/PLAUR/PLA2G1B/FGF18/FGF1/IL17RC/ROBO3/IL6/PPIA/APOA1/XCL1/BSG/CCL20/FGF10/CCL2/NBL1/CCL13/VCAM1/CCL24/S100A9/ARTN/TGFB2/KLRK1/NTF3/PTK2/CCL7/TNFAIP6/IL10/CXCL5/DAPK2/CCL16/SEMA3E/NRP1,77,Second,sPTD
GO:0043410,positive regulation of MAPK cascade,76/576,472/18986,0.16101694915254236,5.307409369114877,16.76203202913684,1.0599915560138012e-33,8.822663051221539e-31,4.989398850500051e-31,PPIA/TGFB3/FGF17/FGF1/PDGFB/FGF18/ABL1/ADCYAP1/TNF/BMPER/BIRC7/PLA2G5/NRXN1/FGFR3/FGF5/ERBB4/DKK1/GCNT2/FGF10/PROK1/FGF20/CD4/ERBB2/WNT7A/FCRL3/JAK2/TNFRSF19/FGF9/SHC1/EDA2R/HAVCR2/VEGFA/PDGFC/FGFR2/TGFB2/IGF1/IL11/NRP1/TNFRSF11A/MAPK3/FGF8/THBS1/NTRK1/SPHK1/INSR/GPNMB/NTF3/MST1R/BCAR3/KDR/CDH2/PTPN11/SRC/IL1B/IL6/FLT4/PLA2G1B/FGF16/NTRK2/ICAM1/MIF/PRKCZ/CCL21/IL34/FGF4/LTBR/CX3CL1/TNFSF11/FGF7/OSM/FGF6/FLT3/KIT/EDAR/SOD1/PTPN1,76,Second,Control
GO:0042327,positive regulation of phosphorylation,76/576,479/18986,0.15866388308977036,5.22984806309441,16.584949755118398,2.966186834309905e-33,1.8516421313179583e-30,1.0471420100596679e-30,PPIA/CNTF/FGF1/PDGFB/FGF18/ABL1/PLK1/ADCYAP1/PIM1/TNF/CCL5/KRAS/FGFR3/ERBB4/FGF10/CD4/PRKCD/TNFSF15/EFNA5/ERBB2/GFRA1/JAK2/PTK2/PRLR/VEGFA/CSF3/TNFSF18/TGFB2/IGF1/PTGS2/IL11/NRP1/TNFRSF11A/CD80/TNFRSF18/FGF8/THBS1/TNFRSF10A/NTRK1/SPHK1/INSR/GPNMB/MAPK1/NTF3/MST1R/KDR/PTPN11/SRC/IL1B/TBK1/HBEGF/IL6/BMP6/FLT4/PLA2G1B/AREG/NTRK2/PLAUR/IFNG/MIF/FYN/IL34/CX3CL1/TNFSF11/VEGFC/FGF7/ANGPT4/OSM/IFNL1/YES1/FLT3/KIT/LTF/MAPT/DDR2/PTPN1,76,Second,Control
GO:0042327,positive regulation of phosphorylation,75/566,479/18986,0.15657620041753653,5.25221862389991,16.522814720494843,6.128479688706781e-33,4.936256299797731e-30,2.801344576412249e-30,IFNG/SPHK1/AREG/THBS1/VEGFC/MAPK1/FGF7/FGF8/FLT3/OSM/DDR2/NTRK2/IFNL1/TNFSF11/EFNA5/MIF/YES1/PRKCD/MST1R/ANGPT4/PDGFB/VEGFA/TNFRSF11A/KDR/PTPN11/CCL5/BMP6/KIT/IL1B/FLT4/GPNMB/KRAS/FYN/TBK1/IL11/TNFSF18/CD80/PRLR/HBEGF/ADCYAP1/ERBB2/IL34/CX3CL1/PTPN1/INSR/JAK2/ABL1/FGFR3/PTGS2/CD4/PLAUR/PLA2G1B/CNTF/GFRA1/CSF3/FGF18/FGF1/NTRK1/IL6/PPIA/PIM1/TNFRSF10A/FGF10/IGF1/TNF/TNFSF15/TNFRSF18/TGFB2/NTF3/PLK1/PTK2/MAPT/ERBB4/LTF/NRP1,75,Second,sPTD
GO:0001934,positive regulation of protein phosphorylation,74/576,455/18986,0.16263736263736264,5.360821123321124,16.653832456823285,4.097073203167779e-33,2.27342039740221e-30,1.2856663630525322e-30,PPIA/CNTF/FGF1/PDGFB/FGF18/ABL1/PLK1/ADCYAP1/PIM1/TNF/KRAS/FGFR3/ERBB4/FGF10/CD4/PRKCD/TNFSF15/EFNA5/ERBB2/GFRA1/JAK2/PTK2/PRLR/VEGFA/CSF3/TNFSF18/TGFB2/IGF1/PTGS2/IL11/NRP1/TNFRSF11A/CD80/TNFRSF18/FGF8/THBS1/TNFRSF10A/NTRK1/SPHK1/INSR/GPNMB/MAPK1/NTF3/MST1R/KDR/PTPN11/SRC/IL1B/TBK1/HBEGF/IL6/BMP6/FLT4/PLA2G1B/AREG/NTRK2/PLAUR/IFNG/MIF/FYN/IL34/CX3CL1/TNFSF11/VEGFC/FGF7/ANGPT4/OSM/IFNL1/YES1/FLT3/KIT/LTF/DDR2/PTPN1,74,Second,Control
GO:0043410,positive regulation of MAPK cascade,74/566,472/18986,0.15677966101694915,5.259043540755824,16.424859111253653,1.5376797843629596e-32,8.470907078746171e-30,4.807272589008411e-30,SPHK1/MAPK3/THBS1/FGF7/FGF8/BCAR3/FGF16/FLT3/OSM/NTRK2/TNFSF11/LTBR/MIF/EDAR/MST1R/FGF4/SHC1/PDGFB/VEGFA/TNFRSF11A/KDR/DKK1/NRXN1/PTPN11/KIT/IL1B/FLT4/FGF6/GPNMB/PRKCZ/IL11/HAVCR2/ADCYAP1/SOD1/ERBB2/IL34/CX3CL1/PTPN1/INSR/JAK2/FGF17/ABL1/BMPER/CCL21/FCRL3/FGFR3/PLA2G5/CD4/EDA2R/PLA2G1B/FGF18/FGF1/NTRK1/IL6/PPIA/TNFRSF19/FGF10/TGFB3/IGF1/TNF/ICAM1/WNT7A/BIRC7/FGF9/FGFR2/TGFB2/NTF3/FGF5/PROK1/ERBB4/CDH2/NRP1/FGF20/PDGFC,74,Second,sPTD
GO:0001934,positive regulation of protein phosphorylation,73/566,455/18986,0.16043956043956045,5.381811827748224,16.58359553523662,8.940662444821559e-33,5.540975550178161e-30,3.1445250940800036e-30,IFNG/SPHK1/AREG/THBS1/VEGFC/MAPK1/FGF7/FGF8/FLT3/OSM/DDR2/NTRK2/IFNL1/TNFSF11/EFNA5/MIF/YES1/PRKCD/MST1R/ANGPT4/PDGFB/VEGFA/TNFRSF11A/KDR/PTPN11/BMP6/KIT/IL1B/FLT4/GPNMB/KRAS/FYN/TBK1/IL11/TNFSF18/CD80/PRLR/HBEGF/ADCYAP1/ERBB2/IL34/CX3CL1/PTPN1/INSR/JAK2/ABL1/FGFR3/PTGS2/CD4/PLAUR/PLA2G1B/CNTF/GFRA1/CSF3/FGF18/FGF1/NTRK1/IL6/PPIA/PIM1/TNFRSF10A/FGF10/IGF1/TNF/TNFSF15/TNFRSF18/TGFB2/NTF3/PLK1/PTK2/ERBB4/LTF/NRP1,73,Second,sPTD
