ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Trimester,Group
GO:0009897,external side of plasma membrane,67/578,407/19960,0.16461916461916462,5.684772535983609,16.48971035307726,1.6800343522140344e-31,7.375350806219611e-29,6.189600244999074e-29,IL7R/CD207/IL12RB1/CD200R1/IL17A/TNFRSF14/TNFRSF4/P4HB/TNF/IL4R/TNFRSF9/CD4/BCAM/EFNA5/FCRL3/GFRA1/ULBP2/IL13/IL12RB2/PLG/CDH5/F10/PRLR/ASGR1/KLRK1/ENG/ICOSLG/LIFR/NRCAM/EPHA5/PLAU/BMPR1A/FASLG/CD84/TNFRSF11A/CD80/CD226/CTLA4/TNFRSF18/TGFBR3/VCAM1/FGF8/THBS1/GFRA3/B2M/INSR/IL2RG/IL11RA/KDR/CD86/ECE1/IL13RA1/IL27RA/PLAUR/ICAM1/IL3RA/NCAM1/IL23R/CD40LG/CRLF2/CA4/ULBP3/CLEC4M/LY9/TGFBR2/EPOR/KIT,67,Second,Control
GO:0009897,external side of plasma membrane,67/568,407/19960,0.16461916461916462,5.784856559504448,16.691358426941072,5.771125585132097e-32,2.5046685039473303e-29,2.1019046867954797e-29,PLAU/THBS1/FGF8/IL2RG/IL3RA/TGFBR3/EFNA5/BCAM/ICOSLG/ULBP3/NCAM1/GFRA3/NRCAM/CRLF2/TNFRSF11A/IL17A/KDR/CD40LG/CLEC4M/KIT/IL23R/IL11RA/IL7R/ENG/TNFRSF9/IL13RA1/PLG/LY9/CDH5/CD80/PRLR/CD226/EPHA5/EPOR/CA4/INSR/P4HB/CD207/FCRL3/CD4/PLAUR/IL27RA/CD200R1/BMPR1A/GFRA1/TGFBR2/IL13/TNFRSF14/IL12RB1/CD86/TNF/ICAM1/VCAM1/F10/B2M/CD84/ULBP2/TNFRSF18/ECE1/KLRK1/CTLA4/ASGR1/IL4R/LIFR/FASLG/TNFRSF4/IL12RB2,67,Second,sPTD
GO:0060205,cytoplasmic vesicle lumen,50/578,329/19960,0.1519756838905775,5.248156834698836,13.417181444395306,4.265007531329354e-22,7.162372268508167e-20,6.010862711851957e-20,PPIA/TGFB3/KPNB1/PDGFB/NME2/SPTAN1/SPARC/PPBP/OLFM4/PRKCD/GZMB/PSMA2/POMC/SLPI/DPP7/PLG/VEGFA/ARSA/TGFB2/IGF1/TIMP3/FASLG/PTPN6/DBNL/THBS1/CRISP3/CTSG/CFP/ALB/B2M/PPIE/MAPK1/S100A9/AHSG/PSMD7/SERPINA4/PRDX6/LYZ/FABP5/APOA1/MIF/ARG1/SERPING1/AZU1/ARSB/VEGFC/LTF/IMPDH2/GRN/LGALS3BP,50,Second,Control
GO:0031983,vesicle lumen,50/578,330/19960,0.15151515151515152,5.232253329139143,13.387592639974581,4.894559636793736e-22,7.162372268508167e-20,6.010862711851957e-20,PPIA/TGFB3/KPNB1/PDGFB/NME2/SPTAN1/SPARC/PPBP/OLFM4/PRKCD/GZMB/PSMA2/POMC/SLPI/DPP7/PLG/VEGFA/ARSA/TGFB2/IGF1/TIMP3/FASLG/PTPN6/DBNL/THBS1/CRISP3/CTSG/CFP/ALB/B2M/PPIE/MAPK1/S100A9/AHSG/PSMD7/SERPINA4/PRDX6/LYZ/FABP5/APOA1/MIF/ARG1/SERPING1/AZU1/ARSB/VEGFC/LTF/IMPDH2/GRN/LGALS3BP,50,Second,Control
GO:0062023,collagen-containing extracellular matrix,49/578,430/19960,0.11395348837209303,3.9351412247525546,10.625420397883676,2.3285273001914213e-16,1.70370580797339e-14,1.4297974650298202e-14,TGFB3/ADAMTS5/PDGFB/ADAMTS15/GPC2/SPARC/COLEC12/FGF10/ADAMTS4/BCAM/SLPI/ANXA6/IL7/EFNA5/IFNA2/PLG/F9/ADAMTS1/FGFR2/TGFB2/TIMP3/THBS1/SPARCL1/CTSG/CFP/AGT/S100A9/AHSG/CDH2/IGFBP7/CMA1/MATN3/COL23A1/APOA1/ICAM1/SPON1/SERPINC1/NCAM1/SERPING1/MMP2/POSTN/CTSS/ANGPT4/DCN/LGALS4/COL18A1/GPC3/BCAN/LGALS3BP,49,Second,Control
GO:0060205,cytoplasmic vesicle lumen,49/568,329/19960,0.14893617021276595,5.233742882828888,13.25206241659576,1.3034702321744089e-21,2.157349538684728e-19,1.81043643071772e-19,THBS1/VEGFC/MAPK1/AZU1/LYZ/PPIE/PRDX6/SPARC/MIF/PRKCD/ARG1/PDGFB/VEGFA/NME2/KPNB1/PTPN6/IMPDH2/SERPING1/GRN/SLPI/DBNL/PLG/ARSA/SERPINA4/PSMD7/AHSG/GZMB/TIMP3/ARSB/CTSG/PSMA2/ALB/PPIA/APOA1/CFP/LGALS3BP/TGFB3/IGF1/CRISP3/DPP7/SPTAN1/B2M/S100A9/FABP5/OLFM4/TGFB2/POMC/FASLG/LTF,49,Second,sPTD
GO:0031983,vesicle lumen,49/568,330/19960,0.1484848484848485,5.2178830559112255,13.222805515092373,1.4912554414871393e-21,2.157349538684728e-19,1.81043643071772e-19,THBS1/VEGFC/MAPK1/AZU1/LYZ/PPIE/PRDX6/SPARC/MIF/PRKCD/ARG1/PDGFB/VEGFA/NME2/KPNB1/PTPN6/IMPDH2/SERPING1/GRN/SLPI/DBNL/PLG/ARSA/SERPINA4/PSMD7/AHSG/GZMB/TIMP3/ARSB/CTSG/PSMA2/ALB/PPIA/APOA1/CFP/LGALS3BP/TGFB3/IGF1/CRISP3/DPP7/SPTAN1/B2M/S100A9/FABP5/OLFM4/TGFB2/POMC/FASLG/LTF,49,Second,sPTD
GO:0062023,collagen-containing extracellular matrix,49/568,430/19960,0.11395348837209303,4.004421880117917,10.7789455471579,1.1565310820799393e-16,8.365574827044894e-15,7.02034656841507e-15,THBS1/COL18A1/SERPINC1/SPARC/EFNA5/BCAM/NCAM1/ANGPT4/COLEC12/MATN3/PDGFB/COL23A1/POSTN/IGFBP7/MMP2/SERPING1/LGALS4/CMA1/ADAMTS1/DCN/SLPI/PLG/ANXA6/SPON1/SPARCL1/AHSG/TIMP3/CTSG/ADAMTS15/F9/GPC2/ADAMTS4/APOA1/CFP/IL7/LGALS3BP/FGF10/AGT/TGFB3/ADAMTS5/ICAM1/S100A9/BCAN/FGFR2/GPC3/TGFB2/IFNA2/CTSS/CDH2,49,Second,sPTD
GO:0034774,secretory granule lumen,48/578,324/19960,0.14814814814814814,5.11598103293605,12.89892067202738,9.01400980294464e-21,9.892875758731741e-19,8.302377450080589e-19,PPIA/TGFB3/KPNB1/PDGFB/NME2/SPTAN1/SPARC/PPBP/OLFM4/PRKCD/PSMA2/POMC/SLPI/DPP7/PLG/VEGFA/ARSA/TGFB2/IGF1/TIMP3/PTPN6/DBNL/THBS1/CRISP3/CTSG/CFP/ALB/B2M/PPIE/MAPK1/S100A9/AHSG/PSMD7/SERPINA4/PRDX6/LYZ/FABP5/APOA1/MIF/ARG1/SERPING1/AZU1/ARSB/VEGFC/LTF/IMPDH2/GRN/LGALS3BP,48,Second,Control
GO:0034774,secretory granule lumen,47/568,324/19960,0.14506172839506173,5.097591723178578,12.726439960306791,2.763221091252377e-20,2.9980948840088295e-18,2.5159855199297962e-18,THBS1/VEGFC/MAPK1/AZU1/LYZ/PPIE/PRDX6/SPARC/MIF/PRKCD/ARG1/PDGFB/VEGFA/NME2/KPNB1/PTPN6/IMPDH2/SERPING1/GRN/SLPI/DBNL/PLG/ARSA/SERPINA4/PSMD7/AHSG/TIMP3/ARSB/CTSG/PSMA2/ALB/PPIA/APOA1/CFP/LGALS3BP/TGFB3/IGF1/CRISP3/DPP7/SPTAN1/B2M/S100A9/FABP5/OLFM4/TGFB2/POMC/LTF,47,Second,sPTD
