trimester,group,entrez_gene_symbol,protein,norm_rank,central_cluster,DE,constrained
Second,Control,PPIA,Cyclophilin A,1,term-specific,FALSE,TRUE
Second,Control,CNTF,CNTF,0.9991416309012876,term-specific,TRUE,TRUE
Second,Control,C19orf84,CS084,0.9982832618025752,term-specific,FALSE,TRUE
Second,Control,IL7R,IL-7 Ra,0.9974248927038628,term-specific,FALSE,TRUE
Second,Control,CCNB1,Cyclin B1,0.9965665236051502,term-specific,FALSE,TRUE
Second,Control,CD207,CLC4K,0.9957081545064378,term-specific,FALSE,TRUE
Second,Control,LCORL,"transcription factor MLR1, isoform CRA_b",0.9939914163090128,term-specific,FALSE,TRUE
Second,Control,IL17B,IL-17B,0.9914163090128756,term-specific,FALSE,TRUE
Second,Control,IL17RD,IL-17 RD,0.9888412017167382,term-specific,FALSE,TRUE
Second,Control,TGFB3,TGF-b3,0.9862660944206008,term-specific,FALSE,TRUE
Second,Control,CD70,CD70,0.984549356223176,term-specific,TRUE,TRUE
Second,Control,FGF17,FGF-17,0.9836909871244636,term-specific,FALSE,TRUE
Second,Control,FAM229A,F229A,0.9828326180257512,term-specific,FALSE,TRUE
Second,Control,EFNA4,Ephrin-A4,0.9811158798283262,term-specific,FALSE,TRUE
Second,Control,FGF1,b-ECGF,0.9802575107296138,term-specific,FALSE,TRUE
Second,Control,ADAMTS5,ADAMTS-5,0.9793991416309012,term-specific,FALSE,TRUE
Second,Control,PPIF,Cyclophilin F,0.9785407725321889,term-specific,FALSE,TRUE
Second,Control,IFNL2,IFN-lambda 2,0.9776824034334765,term-specific,FALSE,TRUE
Second,Control,GCKR,GCKR,0.976824034334764,term-specific,TRUE,TRUE
Second,Control,KPNB1,IMB1,0.975107296137339,term-specific,FALSE,TRUE
Second,Control,IL12RB1,IL-12 Rb1,0.9742489270386266,term-specific,FALSE,TRUE
Second,Control,STK17B,DRAK2,0.9725321888412016,term-specific,FALSE,TRUE
Second,Control,TNFSF4,OX40 Ligand,0.9716738197424892,term-specific,FALSE,TRUE
Second,Control,FGF12,FGF-12,0.9708154506437768,term-specific,FALSE,TRUE
Second,Control,PDGFB,PDGF-BB,0.9699570815450644,term-specific,FALSE,TRUE
Second,Control,DSC3,DSC3,0.969098712446352,term-specific,TRUE,TRUE
Second,Control,AMN,AMNLS,0.9682403433476396,term-specific,FALSE,TRUE
Second,Control,TMPRSS15,Enterokinase,0.967381974248927,term-specific,FALSE,TRUE
Second,Control,FGF18,FGF-18,0.9665236051502146,term-specific,FALSE,TRUE
Second,Control,ADAMTS15,ATS15,0.965665236051502,term-specific,FALSE,TRUE
Second,Control,XCL1,Lymphotactin,0.9648068669527896,term-specific,FALSE,TRUE
Second,Control,HMGCR,HMGR,0.9639484978540772,term-specific,FALSE,TRUE
Second,Control,KIRREL3,KIRR3,0.9630901287553648,term-specific,FALSE,TRUE
Second,Control,PSPN,Persephin,0.96137339055794,term-specific,FALSE,TRUE
Second,Control,ABL1,ABL1,0.959656652360515,term-specific,TRUE,TRUE
Second,Control,LTA LTB,Lymphotoxin a2/b1,0.9587982832618026,term-specific,FALSE,FALSE
Second,Control,CDK5 CDK5R1,CDK5/p35,0.95793991416309,term-specific,FALSE,FALSE
Second,Control,FGA FGB FGG,Fibrinogen,0.9570815450643776,term-specific,FALSE,FALSE
Second,Control,EPHA3,EPHA3,0.9553648068669528,term-specific,TRUE,TRUE
Second,Control,NANOG,NANOG,0.9545064377682404,term-specific,TRUE,TRUE
Second,Control,NME2,NDP kinase B,0.953648068669528,term-specific,FALSE,TRUE
Second,Control,TLR4 LY96,TLR4:MD-2 complex,0.9527896995708156,term-specific,FALSE,FALSE
Second,Control,C1QA C1QB C1QC,C1q,0.951931330472103,term-specific,FALSE,FALSE
Second,Control,PLK1,PLK-1,0.950214592274678,term-specific,FALSE,TRUE
Second,Control,AMHR2,AMHR2,0.9493562231759656,term-specific,TRUE,TRUE
Second,Control,ADCYAP1,PACAP-38,0.9484978540772532,term-specific,FALSE,TRUE
Second,Control,HFE2,RGM-C,0.9476394849785408,term-specific,FALSE,FALSE
Second,Control,KAT6A,MOZ,0.9467811158798284,term-specific,FALSE,TRUE
Second,Control,IL12A IL12B,IL-12,0.9450643776824036,term-specific,FALSE,FALSE
Second,Control,PON1,paraoxonase 1,0.944206008583691,term-specific,FALSE,TRUE
Second,Control,IL27 EBI3,IL-27,0.9433476394849786,term-specific,FALSE,FALSE
Second,Control,CD200R1,MO2R1,0.942489270386266,term-specific,FALSE,TRUE
Second,Control,SLC25A18,GHC2,0.9416309012875536,term-specific,FALSE,TRUE
Second,Control,CDK2 CCNA2,CDK2/cyclin A,0.9407725321888412,term-specific,FALSE,FALSE
Second,Control,RTN4,RTN4,0.9399141630901288,term-specific,TRUE,TRUE
Second,Control,IL1RAPL2,IL-1 sR9,0.9390557939914164,term-specific,FALSE,FALSE
Second,Control,GPC2,GPC2,0.938197424892704,term-specific,TRUE,TRUE
Second,Control,TNFRSF6B,DcR3,0.9373390557939916,term-specific,FALSE,TRUE
Second,Control,IGHG1 IGHG2 IGHG3 IGHG4 IGK IGL,IgG,0.936480686695279,term-specific,FALSE,FALSE
Second,Control,CRLF1 CLCF1,CLF-1/CLC Complex,0.934763948497854,term-specific,FALSE,FALSE
Second,Control,PIM1,PIM1,0.9330472103004293,term-specific,TRUE,TRUE
Second,Control,ALPL,"Alkaline phosphatase, bone",0.9313304721030042,term-specific,FALSE,TRUE
Second,Control,Human-virus,HPV E7 Type 16,0.9304721030042918,term-specific,FALSE,FALSE
Second,Control,IL17A,IL-17,0.9287553648068668,term-specific,FALSE,TRUE
Second,Control,PTPN2,TCPTP,0.9278969957081544,term-specific,FALSE,TRUE
Second,Control,ICOS,ICOS,0.927038626609442,term-specific,FALSE,TRUE
Second,Control,CGA FSHB,FSH,0.9261802575107296,term-specific,FALSE,FALSE
Second,Control,FGA FGB FGG,D-dimer,0.9253218884120172,term-specific,FALSE,FALSE
Second,Control,TNFRSF14,HVEM,0.9244635193133048,term-specific,FALSE,TRUE
Second,Control,SPTAN1,SPTA2,0.9236051502145924,term-specific,FALSE,TRUE
Second,Control,Human-virus,C34 gp41 HIV Fragment,0.9227467811158798,term-specific,FALSE,FALSE
Second,Control,TNFRSF4,TNR4,0.9210300429184548,term-specific,FALSE,TRUE
Second,Control,MAP3K7 TAB1,TAK1-TAB1,0.9201716738197424,term-specific,FALSE,FALSE
Second,sPTD,UBE2N,UBE2N,0.9914163090128756,sPTD-specific,TRUE,TRUE
Second,sPTD,SGTA,SGTA,0.9888412017167382,sPTD-specific,TRUE,TRUE
Second,sPTD,LDHB,LDH-H 1,0.9862660944206008,sPTD-specific,FALSE,TRUE
Second,sPTD,DNAJB1,HSP 40,0.9854077253218884,sPTD-specific,FALSE,TRUE
Second,sPTD,CAMKK1,CaMKK alpha,0.984549356223176,sPTD-specific,FALSE,TRUE
Second,sPTD,STIP1,Stress-induced-phosphoprotein 1,0.9828326180257512,sPTD-specific,FALSE,TRUE
Second,sPTD,IFNG,IFN-g,0.9802575107296138,sPTD-specific,FALSE,TRUE
Second,sPTD,CDC37,CDC37,0.9759656652360515,sPTD-specific,TRUE,TRUE
Second,sPTD,PLAU,uPA,0.975107296137339,sPTD-specific,FALSE,TRUE
Second,sPTD,JAM3,JAM-C,0.9742489270386266,sPTD-specific,FALSE,TRUE
Second,sPTD,SPHK1,Sphingosine kinase 1,0.9725321888412016,sPTD-specific,FALSE,TRUE
Second,sPTD,UBE2L3,UB2L3,0.9716738197424892,sPTD-specific,FALSE,TRUE
Second,sPTD,EEF1B2,EF-1-beta,0.9699570815450644,sPTD-specific,FALSE,TRUE
Second,sPTD,MAPK3,ERK-1,0.965665236051502,sPTD-specific,FALSE,TRUE
Second,sPTD,PSMA6,PSA6,0.9622317596566524,sPTD-specific,FALSE,TRUE
Second,sPTD,PDXP,PLPP,0.95793991416309,sPTD-specific,FALSE,TRUE
