target,trimester,central_cluster
AREG,Second,sPTD-specific
ARI3A,Second,sPTD-specific
ARP19,Second,sPTD-specific
AURKB,Second,sPTD-specific
Aflatoxin B1 aldehyde reductase,Second,sPTD-specific
Azurocidin,Second,sPTD-specific
BCAR3,Second,sPTD-specific
CD39,Second,sPTD-specific
CDC37,Second,sPTD-specific
CPNE1,Second,sPTD-specific
CaMKK alpha,Second,sPTD-specific
Carbonic Anhydrase X,Second,sPTD-specific
DHH,Second,sPTD-specific
EDAR,Second,sPTD-specific
EF-1-beta,Second,sPTD-specific
ERBB3,Second,sPTD-specific
ERK-1,Second,sPTD-specific
Endostatin,Second,sPTD-specific
FGF-16,Second,sPTD-specific
FGF-8A,Second,sPTD-specific
FGF7,Second,sPTD-specific
FLRT1,Second,sPTD-specific
Flt-3,Second,sPTD-specific
HSP 40,Second,sPTD-specific
IFN-g,Second,sPTD-specific
IGF-II receptor,Second,sPTD-specific
IL-19,Second,sPTD-specific
IL-2 sRg,Second,sPTD-specific
IL-3 Ra,Second,sPTD-specific
JAM-C,Second,sPTD-specific
Kallikrein 6,Second,sPTD-specific
LDH-H 1,Second,sPTD-specific
Lysozyme,Second,sPTD-specific
MAPKAPK3,Second,sPTD-specific
MK01,Second,sPTD-specific
Met,Second,sPTD-specific
NACA,Second,sPTD-specific
NG36,Second,sPTD-specific
NMT1,Second,sPTD-specific
OSM,Second,sPTD-specific
P-Cadherin,Second,sPTD-specific
PGP9.5,Second,sPTD-specific
PLPP,Second,sPTD-specific
PPAC,Second,sPTD-specific
PPIE,Second,sPTD-specific
PSA6,Second,sPTD-specific
PSME1,Second,sPTD-specific
RAN,Second,sPTD-specific
SBDS,Second,sPTD-specific
SE6L2,Second,sPTD-specific
SGTA,Second,sPTD-specific
Sphingosine kinase 1,Second,sPTD-specific
Stress-induced-phosphoprotein 1,Second,sPTD-specific
TGF-b R III,Second,sPTD-specific
Testican-1,Second,sPTD-specific
Thrombospondin-1,Second,sPTD-specific
UB2L3,Second,sPTD-specific
UBE2N,Second,sPTD-specific
UFC1,Second,sPTD-specific
VEGF-C,Second,sPTD-specific
prostatic binding protein,Second,sPTD-specific
uPA,Second,sPTD-specific
17-beta-HSD 1,Second,term-specific
4-1BB,Second,term-specific
40S ribosomal protein SA,Second,term-specific
ABL1,Second,term-specific
ABL2,Second,term-specific
ACTH,Second,term-specific
ADAMTS-4,Second,term-specific
ADAMTS-5,Second,term-specific
AGR2,Second,term-specific
AMHR2,Second,term-specific
AMNLS,Second,term-specific
AMPK a1b1g1,Second,term-specific
ASGR1,Second,term-specific
ATP synthase beta chain,Second,term-specific
ATS1,Second,term-specific
ATS15,Second,term-specific
Activated Protein C,Second,term-specific
Activin RIB,Second,term-specific
Afamin,Second,term-specific
"Alkaline phosphatase, bone",Second,term-specific
Angiotensinogen,Second,term-specific
Arylsulfatase A,Second,term-specific
Aurora kinase A,Second,term-specific
B7,Second,term-specific
B7-H2,Second,term-specific
BAFF,Second,term-specific
BASI,Second,term-specific
BCAM,Second,term-specific
BMP RII,Second,term-specific
BMPER,Second,term-specific
BMPR1A,Second,term-specific
BMX,Second,term-specific
BNP,Second,term-specific
BTG,Second,term-specific
C1q,Second,term-specific
C2,Second,term-specific
C34 gp41 HIV Fragment,Second,term-specific
C4,Second,term-specific
C4b,Second,term-specific
"C5b, 6 Complex",Second,term-specific
CATE,Second,term-specific
CBPE,Second,term-specific
CBX5,Second,term-specific
CD30 Ligand,Second,term-specific
CD48,Second,term-specific
CD70,Second,term-specific
CDK1/cyclin B,Second,term-specific
CDK2/cyclin A,Second,term-specific
CDK5/p35,Second,term-specific
CDK8/cyclin C,Second,term-specific
CG073,Second,term-specific
CHK1,Second,term-specific
CK-MB,Second,term-specific
CK2-A1:B,Second,term-specific
CK2-A2:B,Second,term-specific
CLC4K,Second,term-specific
CLF-1/CLC Complex,Second,term-specific
CNTF,Second,term-specific
CNTN2,Second,term-specific
COLEC12,Second,term-specific
COX-2,Second,term-specific
CRDL1,Second,term-specific
CS084,Second,term-specific
CSF-1,Second,term-specific
CTGF,Second,term-specific
Cadherin-5,Second,term-specific
Calcineurin B a,Second,term-specific
Carbonic anhydrase VII,Second,term-specific
Cathepsin G,Second,term-specific
Coagulation Factor IX,Second,term-specific
Coagulation Factor IXab,Second,term-specific
Coagulation Factor Xa,Second,term-specific
Contactin-4,Second,term-specific
Contactin-5,Second,term-specific
Cyclin B1,Second,term-specific
Cyclophilin A,Second,term-specific
Cyclophilin F,Second,term-specific
Cystatin C,Second,term-specific
Cytochrome P450 3A4,Second,term-specific
D-dimer,Second,term-specific
DAF,Second,term-specific
DAN,Second,term-specific
DBNL,Second,term-specific
DEAD-box protein 19B,Second,term-specific
DKK1,Second,term-specific
DKK3,Second,term-specific
DLC8,Second,term-specific
DLL4,Second,term-specific
DMP1,Second,term-specific
DPP2,Second,term-specific
DRAK2,Second,term-specific
DRR1,Second,term-specific
DSC3,Second,term-specific
DYRK3,Second,term-specific
DcR3,Second,term-specific
Dkk-4,Second,term-specific
Dtk,Second,term-specific
EDA,Second,term-specific
EG-VEGF,Second,term-specific
EMR2,Second,term-specific
ENA-78,Second,term-specific
EP15R,Second,term-specific
EPHA3,Second,term-specific
ER,Second,term-specific
ERBB2,Second,term-specific
ERBB4,Second,term-specific
Endoglin,Second,term-specific
Enterokinase,Second,term-specific
Eotaxin-2,Second,term-specific
EphA5,Second,term-specific
EphB4,Second,term-specific
Ephrin-A4,Second,term-specific
Ephrin-A5,Second,term-specific
Epithelial cell kinase,Second,term-specific
F229A,Second,term-specific
FAK1,Second,term-specific
FAM107B,Second,term-specific
FCAR,Second,term-specific
FCG2A/B,Second,term-specific
FCRL3,Second,term-specific
FGF-10,Second,term-specific
FGF-12,Second,term-specific
FGF-17,Second,term-specific
FGF-18,Second,term-specific
FGF-20,Second,term-specific
FGF-5,Second,term-specific
FGF-8B,Second,term-specific
FGF9,Second,term-specific
FGFR-2,Second,term-specific
FGFR-3,Second,term-specific
FSH,Second,term-specific
Factor B,Second,term-specific
Factor H,Second,term-specific
Ferritin,Second,term-specific
Fibrinogen,Second,term-specific
Flt3 ligand,Second,term-specific
Fucosyltransferase 3,Second,term-specific
G-CSF,Second,term-specific
GAS1,Second,term-specific
GCKR,Second,term-specific
GFRa-1,Second,term-specific
GFRa-3,Second,term-specific
GHC2,Second,term-specific
GIIE,Second,term-specific
GITR,Second,term-specific
GNT2C,Second,term-specific
GP114,Second,term-specific
GPC2,Second,term-specific
GRB2-related adapter protein 2,Second,term-specific
GV,Second,term-specific
GX,Second,term-specific
Galectin-8,Second,term-specific
Granzyme B,Second,term-specific
Granzyme H,Second,term-specific
HCK,Second,term-specific
HDGR2,Second,term-specific
HIV-2 Rev,Second,term-specific
HMGR,Second,term-specific
HPV E7 Type 16,Second,term-specific
HTRA2,Second,term-specific
HVEM,Second,term-specific
Hemoglobin,Second,term-specific
Histone H1.2,Second,term-specific
Histone H2A.z,Second,term-specific
ICOS,Second,term-specific
IF4A3,Second,term-specific
IFN-aA,Second,term-specific
IFN-g R1,Second,term-specific
IFN-lambda 2,Second,term-specific
IGF-I,Second,term-specific
IL-1 sR9,Second,term-specific
IL-10,Second,term-specific
IL-10 Rb,Second,term-specific
IL-11,Second,term-specific
IL-12,Second,term-specific
IL-12 RB2,Second,term-specific
IL-12 Rb1,Second,term-specific
IL-13,Second,term-specific
IL-15 Ra,Second,term-specific
IL-17,Second,term-specific
