"","Predictor","Coefficient","OddsRatio","PercentChangeOdds"
"(Intercept)","(Intercept)",-262.747394184556,7.76705841055894e-115,-100
"`6-Phosphogluconate dehydrogenase`","6-Phosphogluconate dehydrogenase",-0.024187248833249,0.976102918512097,-2.38970814879026
"AMNLS","AMNLS",-1.45831777305437,0.232627277634466,-76.7372722365534
"`Arylsulfatase A`","Arylsulfatase A",6.86272900337576,955.972362749577,95497.2362749577
"COLEC12","COLEC12",16.9008113914766,21874046.2985421,2187404529.85421
"`Cyclophilin A`","Cyclophilin A",44.5174124728344,2.1560885118708e+19,2.1560885118708e+21
"`Cyclophilin F`","Cyclophilin F",14.1728086357398,1429461.89717861,142946089.717861
"DSC3","DSC3",-20.026054508937,2.0081448345925e-09,-99.9999997991855
"`ENA-78`","ENA-78",14.1159615835495,1350467.76575219,135046676.575219
"Endoglin","Endoglin",-25.9588542097088,5.32369124722997e-12,-99.9999999994676
"`FGF-12`","FGF-12",-9.31951686391571,8.96572165773107e-05,-99.9910342783423
"Fibrinogen","Fibrinogen",54.5648441522059,4.97978647366303e+23,4.97978647366303e+25
"`Flt-3`","Flt-3",22.3586388373391,5131371643.74786,513137164274.786
"GPC2","GPC2",-4.57670481788586,0.0102887437834523,-98.9711256216548
"IF4A3","IF4A3",-42.1226038648355,5.08610800261817e-19,-100
"`IL-12 Rb1`","IL-12 Rb1",9.63434413763737,15280.6734795712,1527967.34795712
"`IL-17 RC`","IL-17 RC",23.8876997542039,23675338038.4513,2367533803745.13
"`IL-17B`","IL-17B",6.65117480440637,773.692729459953,77269.2729459953
"KIRR3","KIRR3",12.8870496235828,395161.421955948,39516042.1955948
"`Livin B`","Livin B",-91.1131789186232,2.69183953292947e-40,-100
"MAPKAPK3","MAPKAPK3",-35.6771092319567,3.20352656946223e-16,-100
"`MCP-2`","MCP-2",26.244157524507,249857732919.803,24985773291880.3
"NRP1","NRP1",-8.26568459550985,0.000257192790808432,-99.9742807209192
"`Olfactomedin-4`","Olfactomedin-4",9.3605212260747,11620.4438421478,1161944.38421478
"`PACAP-38`","PACAP-38",8.87189102737352,7128.74889435072,712774.889435072
"PIM1","PIM1",60.7563663251361,2.43307017722207e+26,2.43307017722207e+28
"PPIE","PPIE",15.3060195543333,4439354.5593848,443935355.93848
"SPTA2","SPTA2",-9.69094755328517,6.18407792136412e-05,-99.9938159220786
"STX1a","STX1a",40.6716300417531,460749101673135616,46074910167313563648
"UBE2N","UBE2N",149.872106911601,1.22639119253329e+65,1.22639119253329e+67
"`ULBP-2`","ULBP-2",-25.9793374992092,5.21575376937972e-12,-99.9999999994784
