"","Predictor","Coefficient","OddsRatio","PercentChangeOdds"
"(Intercept)","(Intercept)",-201.089756392322,4.65402199613099e-88,-100
"`Flt-3`","Flt-3",16.4076163826312,13357871.3412185,1335787034.12185
"IF4A3","IF4A3",-71.5908929607394,8.09972422716726e-32,-100
"`IL-17 RC`","IL-17 RC",32.2411047918226,100492558089231,10049255808923046
"`Livin B`","Livin B",-219.426504061212,5.0615100428348e-96,-100
"`MCP-2`","MCP-2",15.9545389738119,8491183.72031454,849118272.031454
"PIM1","PIM1",187.229453553778,2.05455857857163e+81,2.05455857857163e+83
"STX1a","STX1a",61.3757259494154,4.52000695052737e+26,4.52000695052737e+28
"UBE2N","UBE2N",218.982108716692,1.26683907704449e+95,1.26683907704449e+97
"`ULBP-2`","ULBP-2",-48.5970015411888,7.84495385973064e-22,-100
