target,trimester,contrast,estimate,se,df,t_ratio,p_value
Angiopoietin-1,Third,Control - sPTD,-164.9961538461519,9.58238548053961,323,-17.218693005122198,4.0374863312093193e-47
Galectin-2,Third,Control - sPTD,164.85942928039503,9.585769691198882,323,17.198350741908577,4.849407905296077e-47
Carbonic anhydrase 9,Third,Control - sPTD,164.74193548386876,9.584721869613267,323,17.187972455012503,5.3245949023928e-47
CD48,Third,Control - sPTD,164.82171215880703,9.597408937738106,323,17.173563534498282,6.062474748434253e-47
B7-H2,Third,Control - sPTD,-164.662034739452,9.588971697581636,323,-17.172022186798216,6.147225209027398e-47
UBE2N,Third,Control - sPTD,-164.87692307692123,9.60792237737145,323,-17.160517810306093,6.818350417691314e-47
UBC9,Third,Control - sPTD,-164.58982630272743,9.591461097486025,323,-17.160036894260806,6.847947608772812e-47
Peroxiredoxin-6,Third,Control - sPTD,-164.27419354838509,9.58937671451601,323,-17.130852029174477,8.906633704310736e-47
LDH-H 1,Third,Control - sPTD,-164.6388337468963,9.610865442145471,323,-17.130489937453888,8.935725545492412e-47
RS7,Third,Control - sPTD,-164.21042183622626,9.593476450031876,323,-17.1168838211596,1.010056749549178e-46
NRX3B,Third,Control - sPTD,164.2679900744397,9.59822224024711,323,17.114418270670356,1.032734759385832e-46
Thrombin,Second,Control - sPTD,-187.98366013072228,11.253335886614993,369,-16.70470534468938,1.4178361542234818e-46
sRAGE,Third,Control - sPTD,164.45124069478726,9.637462473822467,323,17.06374900462379,1.6298520656125167e-46
41,Third,Control - sPTD,-163.96836228287634,9.61407069954234,323,-17.055040201720352,1.7628051021620357e-46
Siglec-7,Third,Control - sPTD,164.32531017369536,9.635949583646974,323,17.053359271676698,1.789688922331334e-46
BOC,Third,Control - sPTD,164.1011166253083,9.629208847382417,323,17.042014481793817,1.9821677174203435e-46
GPC5,Third,Control - sPTD,164.58312655086678,9.658972197885443,323,17.039403694204395,2.029315027487889e-46
BSP,Third,Control - sPTD,163.33486352357107,9.595368602172337,323,17.02226045663248,2.3680102433503495e-46
ATS1,Second,Control - sPTD,187.47670250896377,11.266383869874883,369,16.640361687857684,2.619959163854164e-46
GFRa-3,Third,Control - sPTD,164.3749379652587,9.668487203440359,323,17.00110208624663,2.864925742617497e-46
P-Selectin,Third,Control - sPTD,-163.04838709677193,9.59472317774349,323,-16.993547815427235,3.0665465512629453e-46
