target,trimester,term,df,df_res,sum_sq,sum_sq_res,f_value,pr_f,p_adj_by
14-3-3,Second,group,2,369,397373.68690702785,3892499.313092976,18.835056691658156,1.6261783457499532e-8,1.9630799561148544e-7
17-beta-HSD 1,Second,group,2,369,928589.3913135277,3361283.6086864853,50.97003485650405,2.8457928474304756e-20,4.936612703157785e-19
3HIDH,Second,group,2,369,180447.7682901104,4109425.2317098887,8.10152548649064,3.6025626042839433e-4,0.0036574593514278144
4-1BB,Second,group,2,369,1754833.041534915,2535039.958465109,127.71660465629223,7.0664128257218806e-43,4.572288341564312e-41
4-1BB ligand,Second,group,2,369,470888.282995997,3818984.7170040077,22.74921075906214,4.823841261660036e-10,6.1001496267644715e-9
40S ribosomal protein SA,Second,group,2,369,360786.45582964784,3929086.544170356,16.941622525300097,9.136943886699506e-8,1.0749119053759445e-6
41,Second,group,2,369,200724.1077904259,4089148.892209573,9.05655403203537,1.4463593414350907e-4,0.0015062121838537886
4EBP2,Second,group,2,369,1471832.9200927857,2818040.079907233,96.36242425837258,2.134291585207737e-34,6.597052919070724e-33
6-Phosphogluconate dehydrogenase,Second,group,2,369,1307075.0289373985,2982797.9710626183,80.84870151398108,7.622544905100598e-30,1.8753349511845283e-28
6Ckine,Second,group,2,369,547752.2073055082,3742120.7926944965,27.006151817749924,1.1330163505074618e-11,1.50023076200085e-10
ABL1,Second,group,2,369,721137.6740986807,3568735.3259013304,37.28208699186822,1.7901828632493316e-15,2.6792502435412912e-14
ABL2,Second,group,2,369,983756.4189858879,3306116.581014127,54.89917093220638,1.3433924288445378e-21,2.4235193103923313e-20
ACE2,Second,group,2,369,1135624.3358633905,3154248.6641366207,66.4255460734723,2.2924526513565157e-25,4.669424237740363e-24
ACTH,Second,group,2,369,873229.3348619109,3416643.6651380984,47.15470153528889,5.796207606622286e-19,9.666000463990912e-18
ADAM 9,Second,group,2,369,1109771.2104153633,3180101.7895846507,64.38560834506403,1.0336419127555238e-24,2.064237700546787e-23
