cluster_number,trimester,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
10,Second,log2rfu,Control,sPTD,612,124,-14.049342132574715,7.775295273610424e-45,2.3325885820831274e-44,****
1,Second,log2rfu,Control,sPTD,36108,7316,-12.194945176124365,3.3072651561282437e-34,9.921795468384731e-34,****
6,Second,log2rfu,Control,sPTD,612,124,11.953253605314199,6.243225115937962e-33,1.8729675347813887e-32,****
2,Third,log2rfu,Control,sPTD,18720,4464,-10.928837157895192,8.391686394724547e-28,2.5175059184173643e-27,****
8,Second,log2rfu,Control,sPTD,612,124,8.2555930048587,1.5114986995979573e-16,4.534496098793872e-16,****
10,Third,log2rfu,Control,sPTD,520,124,7.916591261091211,2.441105789333187e-15,7.32331736799956e-15,****
10,Third,log2rfu,Control,PPROM,520,8,5.187531612976195,2.130997591086012e-7,4.261995182172024e-7,****
1,Second,log2rfu,Control,PPROM,36108,472,-4.699619484780517,2.606466875958435e-6,5.21293375191687e-6,****
4,Second,log2rfu,PPROM,sPTD,16,248,3.896890534322158,9.743563208502454e-5,2.923068962550736e-4,***
5,Second,log2rfu,Control,sPTD,918,186,3.685807114980122,2.279789738364534e-4,6.839369215093601e-4,***
9,Second,log2rfu,Control,PPROM,306,4,3.564060104214409,3.651622823043506e-4,0.001095486846913052,**
4,Second,log2rfu,Control,PPROM,1224,16,-3.2347967486436615,0.0012172935144670553,0.0024345870289341105,**
10,Third,log2rfu,PPROM,sPTD,8,124,-2.8975152932734654,0.0037613139949906377,0.0037613139949906377,**
4,Second,log2rfu,Control,sPTD,1224,248,2.7455455665688464,0.006041037763866073,0.006041037763866073,**
3,Third,log2rfu,Control,PPROM,11180,172,2.972657474781072,0.0029523371830797464,0.008857011549239239,**
3,Third,log2rfu,Control,sPTD,11180,2666,2.814687575243187,0.004882467478932288,0.009764934957864575,**
9,Second,log2rfu,Control,sPTD,306,62,2.7237758265762797,0.006454029761062497,0.012230860157989486,*
9,Second,log2rfu,PPROM,sPTD,4,62,-2.741527180910351,0.006115430078994743,0.012230860157989486,*
10,Second,log2rfu,PPROM,sPTD,8,124,-2.662334665870122,0.007760068159654423,0.015520136319308845,*
3,Third,log2rfu,PPROM,sPTD,172,2666,-2.1321139903466593,0.032997476784659766,0.032997476784659766,*
8,Second,log2rfu,PPROM,sPTD,8,124,2.317475327449644,0.02047785313956001,0.04095570627912002,*
1,Second,log2rfu,PPROM,sPTD,472,7316,1.2923427963743643,0.1962384573509944,0.1962384573509944,ns
6,Second,log2rfu,Control,PPROM,612,8,1.6361935150657336,0.10179909323802751,0.20359818647605502,ns
6,Second,log2rfu,PPROM,sPTD,8,124,1.6308940733743351,0.10291267252424403,0.20359818647605502,ns
2,Third,log2rfu,Control,PPROM,18720,288,-1.4398232775024242,0.14991740374745224,0.22459810541724115,ns
2,Third,log2rfu,PPROM,sPTD,288,4464,-1.5879437790278281,0.11229905270862058,0.22459810541724115,ns
10,Second,log2rfu,Control,PPROM,612,8,-1.1589672908004114,0.24646951806294257,0.24646951806294257,ns
5,Second,log2rfu,Control,PPROM,918,12,0.9292570394124378,0.3527558934685518,0.7055117869371036,ns
8,Second,log2rfu,Control,PPROM,612,8,-0.09090735480364202,0.9275662061058485,0.9275662061058485,ns
5,Second,log2rfu,PPROM,sPTD,12,186,0.08854526965621697,0.9294433056262484,0.9294433056262484,ns
