target,trimester,contrast,estimate,se,df,t_ratio,p_value
CD48,Third,Control - sPTD,164.82171215880703,9.597408937738106,323,17.173563534498282,6.062474748434253e-47
UBE2N,Third,Control - sPTD,-164.87692307692123,9.60792237737145,323,-17.160517810306093,6.818350417691314e-47
BOC,Third,Control - sPTD,164.1011166253083,9.629208847382417,323,17.042014481793817,1.9821677174203435e-46
GPC5,Third,Control - sPTD,164.58312655086678,9.658972197885443,323,17.039403694204395,2.029315027487889e-46
PA2G4,Third,Control - sPTD,-162.12903225806207,9.592229619072116,323,-16.90212168563009,6.9832982384399794e-46
METAP1,Second,Control - sPTD,187.45098039215972,11.354220587017588,369,16.509365742505576,9.136146676867314e-46
RAN,Third,Control - sPTD,-164.12692307692157,9.7315455890941,323,-16.8654528280538,9.713611234687743e-46
LYVE1,Second,Control - sPTD,185.7253847775705,11.267942838036348,369,16.48263462525132,1.1786506277660799e-45
JAK2,Second,Control - sPTD,187.3366013071922,11.371710353278882,369,16.473916015032533,1.2807369175475219e-45
SPARCL1,Second,Control - sPTD,-187.28167826270547,11.37382830121892,369,-16.466019470562493,1.380800468679824e-45
PPIE,Third,Control - sPTD,-162.15099255582896,9.650000098358756,323,-16.80321149254777,1.700630852607692e-45
JAK2,Third,Control - sPTD,160.99999999999767,9.581534361900696,323,16.803154267252452,1.7015066732562244e-45
CDON,Third,Control - sPTD,160.99999999999756,9.581534361900701,323,16.80315426725243,1.7015066732565645e-45
FYN,Third,Control - sPTD,-160.99999999999756,9.581534361900701,323,-16.80315426725243,1.7015066732565645e-45
PCSK7,Third,Control - sPTD,160.98002481389332,9.582573393216853,323,16.799247781169626,1.762372924888014e-45
PDPK1,Third,Control - sPTD,-160.9600496277892,9.583612182984714,323,-16.795342565464697,1.8253947169441447e-45
LYVE1,Third,Control - sPTD,160.8002481389554,9.59191381480278,323,16.764146472083542,2.416809963837525e-45
NACA,Third,Control - sPTD,-160.7602977667469,9.593986812759901,323,-16.756360093484535,2.5921631527584532e-45
NR1D1,Third,Control - sPTD,161.20310173697294,9.629115521254286,323,16.74121588645918,2.970470046632042e-45
MICA,Third,Control - sPTD,163.64627791563146,9.775535113527472,323,16.740390783229483,2.99259850355948e-45
SET,Second,Control - sPTD,186.59993674889594,11.400416000579975,369,16.367818221668667,3.517494387639851e-45
GAS1,Third,Control - sPTD,163.05868486352193,9.755715950609178,323,16.714168974276053,3.788601926020404e-45
CAMK2B,Second,Control - sPTD,184.00000000000375,11.249729928879727,369,16.355948201711797,3.9381853366353167e-45
CAMK2D,Second,Control - sPTD,184.0000000000037,11.249729928879727,369,16.35594820171179,3.938185336635598e-45
PIM1,Second,Control - sPTD,-184.00000000000034,11.249729928879736,369,-16.35594820171148,3.9381853366471684e-45
PCSK7,Second,Control - sPTD,183.9773350200333,11.251602866203223,369,16.351211219216733,4.1197813126325676e-45
FER,Second,Control - sPTD,184.3666455829682,11.27863572626584,369,16.346537831132594,4.3071350788327816e-45
SET,Third,Control - sPTD,162.94640198511019,9.771061933552552,323,16.67642709597137,5.319758676999803e-45
PARK7,Third,Control - sPTD,160.87369727046917,9.651830664158751,323,16.66768749558153,5.754717928504091e-45
CAMK2A,Second,Control - sPTD,183.59266287160378,11.26775075377494,369,16.293638977601297,7.12445067585504e-45
CNTN2,Third,Control - sPTD,162.159553349874,9.747108976383865,323,16.636682091353254,7.605089317162806e-45
SHC1,Third,Control - sPTD,-160.12109181141176,9.627024268233916,323,-16.6324595586364,7.89937380242094e-45
