protein_name,trimester,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
METAP1,Second,log2rfu,Control,sPTD,306,62,-12.516563356139466,6.060278478140956e-36,1.8180835434422868e-35,****
JAK2,Second,log2rfu,Control,sPTD,306,62,-12.508925983101376,6.67202265059866e-36,2.001606795179598e-35,****
SPARCL1,Second,log2rfu,Control,sPTD,306,62,12.505258636232393,6.98720411466524e-36,2.0961612343995722e-35,****
SET,Second,log2rfu,Control,sPTD,306,62,-12.459737077303977,1.237780207949163e-35,3.7133406238474885e-35,****
LYVE1,Second,log2rfu,Control,sPTD,306,62,-12.401341089539923,2.569861725053466e-35,7.709585175160398e-35,****
GPC5,Second,log2rfu,Control,sPTD,306,62,-12.382363801327301,3.2560928239059206e-35,9.768278471717762e-35,****
UBE2N,Third,log2rfu,Control,sPTD,260,62,12.377199856493172,3.472477513751475e-35,1.0417432541254423e-34,****
CD48,Third,log2rfu,Control,sPTD,260,62,-12.37305520995922,3.6564382923425496e-35,1.0969314877027649e-34,****
GPC5,Third,log2rfu,Control,sPTD,260,62,-12.355144748645092,4.569329561218744e-35,1.3707988683656232e-34,****
SIRT2,Second,log2rfu,Control,sPTD,306,62,12.341333158526352,5.425009225839864e-35,1.6275027677519593e-34,****
RAN,Third,log2rfu,Control,sPTD,260,62,12.320897860318492,6.991154615767188e-35,2.0973463847301566e-34,****
BOC,Third,log2rfu,Control,sPTD,260,62,-12.318960587331837,7.161131720118848e-35,2.148339516035654e-34,****
UBE2N,Second,log2rfu,Control,sPTD,306,62,12.312177398965275,7.789296919203327e-35,2.3367890757609982e-34,****
FER,Second,log2rfu,Control,sPTD,306,62,-12.310614729090199,7.941598328965194e-35,2.3824794986895582e-34,****
CAMK1,Second,log2rfu,Control,sPTD,306,62,12.30023916424398,9.030635082496158e-35,2.7091905247488475e-34,****
CAMK2B,Second,log2rfu,Control,sPTD,306,62,-12.28613290104736,1.0752802223071309e-34,3.225840666921393e-34,****
CAMK2D,Second,log2rfu,Control,sPTD,306,62,-12.28613290104736,1.0752802223071309e-34,3.225840666921393e-34,****
PIM1,Second,log2rfu,Control,sPTD,306,62,12.28613290104736,1.0752802223071309e-34,3.225840666921393e-34,****
MICA,Third,log2rfu,Control,sPTD,260,62,-12.28481615094203,1.0929320112656113e-34,3.2787960337968342e-34,****
PCSK7,Second,log2rfu,Control,sPTD,306,62,-12.284619504546724,1.0955927608620647e-34,3.286778282586194e-34,****
CAMK2A,Second,log2rfu,Control,sPTD,306,62,-12.258933998356868,1.5046623003792375e-34,4.513986901137712e-34,****
NR1D1,Second,log2rfu,Control,sPTD,306,62,-12.24796011396389,1.7227475414792907e-34,5.168242624437872e-34,****
LIN7B,Second,log2rfu,Control,sPTD,306,62,-12.243595900799265,1.817960726450025e-34,5.453882179350075e-34,****
GAS1,Third,log2rfu,Control,sPTD,260,62,-12.24070593524587,1.8838693076047539e-34,5.651607922814261e-34,****
SET,Third,log2rfu,Control,sPTD,260,62,-12.232276934991432,2.089968777313041e-34,6.269906331939122e-34,****
GAS1,Second,log2rfu,Control,sPTD,306,62,-12.178822530572067,4.030587420124917e-34,1.2091762260374752e-33,****
CNTN2,Third,log2rfu,Control,sPTD,260,62,-12.173208736523305,4.3176911566886075e-34,1.2953073470065823e-33,****
PPIE,Third,log2rfu,Control,sPTD,260,62,12.172566083465236,4.35182741543658e-34,1.305548224630974e-33,****
PA2G4,Third,log2rfu,Control,sPTD,260,62,12.170917538664089,4.440625233168706e-34,1.3321875699506119e-33,****
PA2G4,Second,log2rfu,Control,sPTD,306,62,12.150342520146154,5.712576598024685e-34,1.7137729794074056e-33,****
CD27,Third,log2rfu,Control,sPTD,260,62,12.144205524598089,6.157781217980328e-34,1.8473343653940985e-33,****
PDPK1,Second,log2rfu,Control,sPTD,306,62,-12.138031215589823,6.640461112571588e-34,1.9921383337714764e-33,****
ECM1,Third,log2rfu,Control,sPTD,260,62,-12.123631312927309,7.9171843748615e-34,2.37515531245845e-33,****
NR1D1,Third,log2rfu,Control,sPTD,260,62,-12.101408556455382,1.0381441179606238e-33,3.114432353881871e-33,****
GDF2,Second,log2rfu,Control,sPTD,306,62,12.09253077382188,1.1566791126960046e-33,3.470037338088014e-33,****
FLRT1,Third,log2rfu,Control,sPTD,260,62,12.087791762674177,1.2253607110045063e-33,3.676082133013519e-33,****
CDON,Third,log2rfu,Control,sPTD,260,62,-12.086161845497905,1.2499069304243192e-33,3.749720791272957e-33,****
FYN,Third,log2rfu,Control,sPTD,260,62,12.086161845497905,1.2499069304243192e-33,3.749720791272957e-33,****
JAK2,Third,log2rfu,Control,sPTD,260,62,-12.086161845497905,1.2499069304243192e-33,3.749720791272957e-33,****
PCSK7,Third,log2rfu,Control,sPTD,260,62,-12.084662321695735,1.272920529006326e-33,3.818761587018978e-33,****
PDPK1,Third,log2rfu,Control,sPTD,260,62,12.08316279789356,1.2963549639468887e-33,3.889064891840666e-33,****
LRIG3,Third,log2rfu,Control,sPTD,260,62,-12.077937749117055,1.3814099773745036e-33,4.144229932123511e-33,****
PARK7,Third,log2rfu,Control,sPTD,260,62,-12.076680384438216,1.4026916681996075e-33,4.2080750045988226e-33,****
LYVE1,Third,log2rfu,Control,sPTD,260,62,-12.071166607476195,1.4999271492682353e-33,4.4997814478047055e-33,****
PTN,Second,log2rfu,Control,sPTD,306,62,-12.071132051208242,1.5005571888265415e-33,4.5016715664796246e-33,****
NACA,Third,log2rfu,Control,sPTD,260,62,12.068167559871853,1.5555967345514934e-33,4.66679020365448e-33,****
PARK7,Second,log2rfu,Control,sPTD,306,62,-12.06777442269288,1.563044835191753e-33,4.68913450557526e-33,****
CPNE1,Second,log2rfu,Control,sPTD,306,62,-12.061763071011287,1.6814439844018685e-33,5.0443319532056055e-33,****
PDK1,Second,log2rfu,Control,sPTD,306,62,-12.02738433375964,2.5511555386498043e-33,7.653466615949413e-33,****
LY86,Third,log2rfu,Control,sPTD,260,62,12.026339228222476,2.583645753964739e-33,7.750937261894217e-33,****
SHC1,Third,log2rfu,Control,sPTD,260,62,12.020182798202383,2.7835498616346036e-33,8.35064958490381e-33,****
HIPK3,Second,log2rfu,Control,sPTD,306,62,12.01847993109311,2.8415058666580898e-33,8.52451759997427e-33,****
PTN,Third,log2rfu,Control,sPTD,260,62,-12.00054928158762,3.529462383877483e-33,1.0588387151632449e-32,****
MATK,Third,log2rfu,Control,sPTD,260,62,-11.996646794177002,3.699844583234292e-33,1.1099533749702876e-32,****
SIRT2,Third,log2rfu,Control,sPTD,260,62,11.96919898892857,5.152363176821172e-33,1.5457089530463515e-32,****
PSME1,Third,log2rfu,Control,sPTD,260,62,11.967392109316016,5.2657821031887584e-33,1.5797346309566275e-32,****
CAMK2A,Third,log2rfu,Control,sPTD,260,62,11.966647004321146,5.313271731286819e-33,1.5939815193860456e-32,****
XPNPEP1,Third,log2rfu,Control,sPTD,260,62,11.964700417522057,5.439355052116863e-33,1.631806515635059e-32,****
DSC3,Second,log2rfu,Control,sPTD,306,62,-11.961041254603877,5.684461129961521e-33,1.7053383389884563e-32,****
CAMK2D,Third,log2rfu,Control,sPTD,260,62,11.95574984377121,6.058423518915376e-33,1.817527055674613e-32,****
BOC,Second,log2rfu,Control,sPTD,306,62,-11.950496752473866,6.453831569601729e-33,1.9361494708805185e-32,****
C5,Second,log2rfu,Control,sPTD,306,62,11.94548494638804,6.854934768435892e-33,2.0564804305307675e-32,****
SGTA,Third,log2rfu,Control,sPTD,260,62,11.896784097239879,1.2299613761219075e-32,3.6898841283657226e-32,****
AIF1,Third,log2rfu,Control,sPTD,260,62,11.882226608402654,1.4641454573621134e-32,4.39243637208634e-32,****
GOT1,Second,log2rfu,Control,sPTD,306,62,11.878909578467063,1.5234162438863808e-32,4.570248731659142e-32,****
MAPKAPK3,Second,log2rfu,Control,sPTD,306,62,-11.871673431477978,1.6611127199132618e-32,4.983338159739785e-32,****
MEPE,Third,log2rfu,Control,sPTD,260,62,-11.870966209167719,1.6752159968923876e-32,5.025647990677162e-32,****
LY86,Second,log2rfu,Control,sPTD,306,62,11.868864849134939,1.7178262452956064e-32,5.153478735886819e-32,****
MDM2,Third,log2rfu,Control,sPTD,260,62,11.867231370380942,1.751691046048817e-32,5.255073138146451e-32,****
DSC3,Third,log2rfu,Control,sPTD,260,62,-11.861233275172262,1.8818268785207465e-32,5.64548063556224e-32,****
LY9,Second,log2rfu,Control,sPTD,306,62,-11.849352592856977,2.1685969280120012e-32,6.505790784036004e-32,****
FYN,Second,log2rfu,Control,sPTD,306,62,-11.845769714629892,2.2633069639221487e-32,6.789920891766446e-32,****
GREM1,Second,log2rfu,Control,sPTD,306,62,-11.830051508183757,2.7297422845094693e-32,8.189226853528408e-32,****
BTK,Third,log2rfu,Control,sPTD,260,62,11.822245656315816,2.995680145785956e-32,8.987040437357868e-32,****
PTH,Second,log2rfu,Control,sPTD,306,62,-11.819492927946765,3.0954725996719703e-32,9.286417799015911e-32,****
CAMK1,Third,log2rfu,Control,sPTD,260,62,11.813993618497658,3.3048248095567405e-32,9.91447442867022e-32,****
FGFR4,Third,log2rfu,Control,sPTD,260,62,-11.808591607284871,3.524149835336386e-32,1.057244950600916e-31,****
UFM1,Second,log2rfu,Control,sPTD,306,62,-11.807808099151162,3.557138679258119e-32,1.0671416037774357e-31,****
CHST2,Third,log2rfu,Control,sPTD,260,62,11.804251370689764,3.7107885831119504e-32,1.113236574933585e-31,****
BMP10,Third,log2rfu,Control,sPTD,260,62,-11.794304219008284,4.176380446214737e-32,1.2529141338644212e-31,****
MRC2,Third,log2rfu,Control,sPTD,260,62,-11.790755656470225,4.3561481526444486e-32,1.3068444457933346e-31,****
PPID,Third,log2rfu,Control,sPTD,260,62,11.753826390162102,6.749196996226386e-32,2.0247590988679157e-31,****
PCSK9,Third,log2rfu,Control,sPTD,260,62,11.73397865586132,8.535037702049799e-32,2.56051131061494e-31,****
DMP1,Second,log2rfu,Control,sPTD,306,62,-11.709620342000628,1.1378798899139588e-31,3.4136396697418765e-31,****
