term_description,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Regulation of calcium ion transport,Second,log2rfu,4464,597.17,2,2.12E-130,5.69E-127,4.82E-126,Kruskal-Wallis
Regulation of mast cell activation,Second,log2rfu,2604,475.21,2,6.46E-104,8.67E-101,7.35E-100,Kruskal-Wallis
Cellular response to hydrogen peroxide,Second,log2rfu,1488,472.98,2,1.97E-103,1.76E-100,1.49E-99,Kruskal-Wallis
Regulation of muscle cell apoptotic process,Second,log2rfu,1860,448.94,2,3.26E-98,2.19E-95,1.85E-94,Kruskal-Wallis
Regulation of mast cell activation involved in immune response,Second,log2rfu,1860,444.31,2,3.31E-97,1.48E-94,1.25E-93,Kruskal-Wallis
Regulation of mast cell degranulation,Second,log2rfu,1860,444.31,2,3.31E-97,1.48E-94,1.25E-93,Kruskal-Wallis
Regulation of leukocyte mediated immunity,Second,log2rfu,4092,432.67,2,1.12E-94,4.29E-92,3.64E-91,Kruskal-Wallis
Positive regulation of small molecule metabolic process,Second,log2rfu,1116,411.51,2,4.39E-90,1.47E-87,1.25E-86,Kruskal-Wallis
Cellular response to reactive oxygen species,Second,log2rfu,2232,407.14,2,3.89E-89,1.16E-86,9.83E-86,Kruskal-Wallis
Regulation of metal ion transport,Second,log2rfu,5208,394.85,2,1.82E-86,4.88E-84,4.14E-83,Kruskal-Wallis
Regulation of protein localization to nucleus,Second,log2rfu,2232,370.93,2,2.84E-81,6.93E-79,5.87E-78,Kruskal-Wallis
Positive regulation of calcium ion transport,Second,log2rfu,1860,347.77,2,3.04E-76,6.80E-74,5.76E-73,Kruskal-Wallis
Positive regulation of small molecule metabolic process,Third,log2rfu,978,337.92,2,4.19E-74,8.65E-72,7.33E-71,Kruskal-Wallis
Regulation of lymphocyte apoptotic process,Third,log2rfu,1630,332.84,2,5.31E-73,1.02E-70,8.62E-70,Kruskal-Wallis
Fc-epsilon receptor signaling pathway,Third,log2rfu,1304,331.68,2,9.48E-73,1.70E-70,1.44E-69,Kruskal-Wallis
Regulation of ion transport,Second,log2rfu,7068,330.4,2,1.80E-72,3.02E-70,2.56E-69,Kruskal-Wallis
Neuron maturation,Third,log2rfu,978,322.79,2,8.08E-71,1.28E-68,1.08E-67,Kruskal-Wallis
Regulation of secretion by cell,Second,log2rfu,5580,317.06,2,1.41E-69,2.10E-67,1.78E-66,Kruskal-Wallis
Activation of protein kinase B activity,Second,log2rfu,744,293.56,2,1.79E-64,2.53E-62,2.14E-61,Kruskal-Wallis
T cell activation,Second,log2rfu,5580,282.77,2,3.95E-62,5.30E-60,4.49E-59,Kruskal-Wallis
Response to amino acid,Second,log2rfu,1116,276.46,2,9.27E-61,1.13E-58,9.58E-58,Kruskal-Wallis
Response to acid chemical,Second,log2rfu,1116,276.46,2,9.27E-61,1.13E-58,9.58E-58,Kruskal-Wallis
Positive regulation of protein localization to nucleus,Second,log2rfu,1860,274.15,2,2.95E-60,3.44E-58,2.92E-57,Kruskal-Wallis
Regulation of myeloid leukocyte mediated immunity,Second,log2rfu,2604,273.56,2,3.96E-60,4.43E-58,3.75E-57,Kruskal-Wallis
Regulation of astrocyte differentiation,Third,log2rfu,652,269.92,2,2.44E-59,2.62E-57,2.22E-56,Kruskal-Wallis
Regulation of astrocyte differentiation,Second,log2rfu,744,267.25,2,9.27E-59,9.57E-57,8.11E-56,Kruskal-Wallis
Positive regulation of mast cell activation,Second,log2rfu,1488,266.28,2,1.51E-58,1.50E-56,1.27E-55,Kruskal-Wallis
Platelet-derived growth factor receptor signaling pathway,Second,log2rfu,1488,261.09,2,2.02E-57,1.94E-55,1.64E-54,Kruskal-Wallis
Response to cadmium ion,Second,log2rfu,744,260.62,2,2.56E-57,2.37E-55,2.01E-54,Kruskal-Wallis
Response to platelet-derived growth factor,Third,log2rfu,652,255.02,2,4.19E-56,3.75E-54,3.18E-53,Kruskal-Wallis
Negative regulation of B cell proliferation,Third,log2rfu,652,254.55,2,5.30E-56,4.45E-54,3.77E-53,Kruskal-Wallis
Negative regulation of B cell activation,Third,log2rfu,652,254.55,2,5.30E-56,4.45E-54,3.77E-53,Kruskal-Wallis
Regulation of calcium ion transport,Third,log2rfu,3912,254.4,2,5.74E-56,4.67E-54,3.96E-53,Kruskal-Wallis
Response to reactive oxygen species,Second,log2rfu,2976,250.86,2,3.36E-55,2.65E-53,2.25E-52,Kruskal-Wallis
Cellular extravasation,Third,log2rfu,652,249.77,2,5.80E-55,4.45E-53,3.77E-52,Kruskal-Wallis
Regulation of leukocyte mediated cytotoxicity,Second,log2rfu,1488,249.3,2,7.32E-55,5.31E-53,4.50E-52,Kruskal-Wallis
Regulation of natural killer cell mediated cytotoxicity,Second,log2rfu,1488,249.3,2,7.32E-55,5.31E-53,4.50E-52,Kruskal-Wallis
Response to hydrogen peroxide,Second,log2rfu,2232,248.41,2,1.14E-54,8.05E-53,6.82E-52,Kruskal-Wallis
Hormone-mediated signaling pathway,Second,log2rfu,1116,244.02900945542524,2,1.02e-53,7.019692307692307e-52,5.947410048018926e-51,Kruskal-Wallis
Response to ethanol,Second,log2rfu,744,243.43841211661038,2,1.37e-53,9.192699999999998e-52,7.788483305530668e-51,Kruskal-Wallis
Regulation of calcium ion transmembrane transport,Second,log2rfu,2976,241.18411707936502,2,4.2399999999999995e-53,2.7756487804878047e-51,2.351658836777641e-50,Kruskal-Wallis
Negative regulation of epithelial cell apoptotic process,Second,log2rfu,744,240.20358327596796,2,6.93e-53,4.210897777777778e-51,3.567668589589393e-50,Kruskal-Wallis
Negative regulation of endothelial cell apoptotic process,Second,log2rfu,744,240.20358327596796,2,6.93e-53,4.210897777777778e-51,3.567668589589393e-50,Kruskal-Wallis
Platelet aggregation,Second,log2rfu,744,240.16374047792897,2,7.06e-53,4.210897777777778e-51,3.567668589589393e-50,Kruskal-Wallis
Homotypic cell-cell adhesion,Second,log2rfu,744,240.16374047792897,2,7.06e-53,4.210897777777778e-51,3.567668589589393e-50,Kruskal-Wallis
Regulation of generation of precursor metabolites and energy,Second,log2rfu,1488,238.88761453709049,2,1.34e-52,7.818608695652173e-51,6.624289196706503e-50,Kruskal-Wallis
Regulation of protein import into nucleus,Second,log2rfu,1488,233.04382798916322,2,2.48e-51,1.4162382978723404e-49,1.1999030034301014e-48,Kruskal-Wallis
