cluster_number,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
1,Second,log2rfu,43896,165.8192533480178,2,9.84e-37,1.0823999999999999e-35,3.994936262035178e-35,Kruskal-Wallis
1,Third,log2rfu,38468,2.320733319807914,2,0.313,0.3593333333333334,1,Kruskal-Wallis
2,Second,log2rfu,26784,9.857371918595163,2,0.00724,0.011377142857142857,0.041990909606757686,Kruskal-Wallis
2,Third,log2rfu,23472,120.16328970812901,2,8.07e-27,4.4385000000000005e-26,1.6381674611089375e-25,Kruskal-Wallis
3,Second,log2rfu,15996,12.400246551827877,2,0.00203,0.0037216666666666665,0.01373597664622529,Kruskal-Wallis
3,Third,log2rfu,14018,15.901690103157307,2,3.52e-4,7.744000000000001e-4,0.0028581657809682573,Kruskal-Wallis
4,Second,log2rfu,1488,18.871138482129936,2,7.98e-5,1.9506666666666667e-4,7.199546380090498e-4,Kruskal-Wallis
4,Third,log2rfu,1304,6.267381971263603,2,0.0436,0.056423529411764706,0.2082487099769653,Kruskal-Wallis
5,Second,log2rfu,1116,14.160086833897822,2,8.42e-4,0.001684,0.006215329513365891,Kruskal-Wallis
5,Third,log2rfu,978,1.4272784858799241,2,0.49,0.49,1,Kruskal-Wallis
6,Second,log2rfu,744,144.04676850667784,2,5.26e-32,3.857333333333333e-31,1.4236696977171434e-30,Kruskal-Wallis
6,Third,log2rfu,652,4.215977335380103,2,0.121,0.1478888888888889,0.5458302706710214,Kruskal-Wallis
7,Second,log2rfu,1116,11.99482493131518,2,0.00249,0.004213846153846154,0.015552519218992485,Kruskal-Wallis
7,Third,log2rfu,978,2.207437354295962,2,0.332,0.3593333333333334,1,Kruskal-Wallis
8,Second,log2rfu,744,68.3817198595375,2,1.42e-15,4.462857142857143e-15,1.6471572276683953e-14,Kruskal-Wallis
8,Third,log2rfu,652,2.1404367579261816,2,0.343,0.3593333333333334,1,Kruskal-Wallis
9,Second,log2rfu,372,19.258096844594093,2,6.58e-5,1.8095e-4,6.678526576268159e-4,Kruskal-Wallis
9,Third,log2rfu,326,7.956202628985125,2,0.0187,0.025712500000000003,0.09490003569621168,Kruskal-Wallis
10,Second,log2rfu,744,197.63849623003853,2,1.2099999999999998e-43,2.6619999999999997e-42,9.824944872078384e-42,Kruskal-Wallis
10,Third,log2rfu,652,85.39569152389345,2,2.86e-19,1.0486666666666667e-18,3.870432828394516e-18,Kruskal-Wallis
