protein_name,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
CAMK2A,Second,log2rfu,372,162.1206048672227,2,6.25e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
CAMK2B,Second,log2rfu,372,162.78820375335113,2,4.48e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
CAMK2D,Second,log2rfu,372,162.78820375335113,2,4.48e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
LYVE1,Second,log2rfu,372,162.11348316437284,2,6.27e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
PCSK7,Second,log2rfu,372,162.71886873656717,2,4.6300000000000004e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
PIM1,Second,log2rfu,372,162.78820375335113,2,4.48e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
ATS1,Second,log2rfu,372,162.1712798547585,2,6.09e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Cadherin-6,Second,log2rfu,372,162.44649159025016,2,5.31e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Clusterin,Second,log2rfu,372,162.78820375335113,2,4.48e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Flt-3,Second,log2rfu,372,162.78820375335113,2,4.48e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
IGFBP-1,Second,log2rfu,372,162.1523617402445,2,6.15e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
IGFBP-6,Second,log2rfu,372,162.65086984904565,2,4.8e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
IL-13,Second,log2rfu,372,162.49308729712152,2,5.1900000000000004e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Integrin a1b1,Second,log2rfu,372,162.4701149961611,2,5.25e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
KPCT,Second,log2rfu,372,162.46092235244237,2,5.27e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
LG3BP,Second,log2rfu,372,162.38818033390362,2,5.47e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Livin B,Second,log2rfu,372,162.31119643054376,2,5.68e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
MMP-2,Second,log2rfu,372,162.18285656323178,2,6.06e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
OBCAM,Second,log2rfu,372,162.51995728868224,2,5.12e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Protein C,Second,log2rfu,372,162.1523617402445,2,6.15e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Soggy-1,Second,log2rfu,372,162.59287061344185,2,4.94e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
TIMP-1,Second,log2rfu,372,162.36841010085664,2,5.52e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
TSP4,Second,log2rfu,372,162.78820375335113,2,4.48e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
TWEAKR,Second,log2rfu,372,162.1206048672227,2,6.25e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
Thrombin,Second,log2rfu,372,162.6547030787292,2,4.79e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
UNC5H4,Second,log2rfu,372,162.51191607074634,2,5.14e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
a2-Macroglobulin,Second,log2rfu,372,162.48301729933928,2,5.22e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
b-Endorphin,Second,log2rfu,372,162.49044533399683,2,5.2e-36,5.2175357142857145e-34,4.346757067853931e-33,Kruskal-Wallis
TNF sR-I,Second,log2rfu,372,161.86073577817865,2,7.12e-36,5.7205517241379304e-34,4.7658224113037435e-33,Kruskal-Wallis
FER,Second,log2rfu,372,161.71684288779875,2,7.65e-36,5.941500000000001e-34,4.9498956083695485e-33,Kruskal-Wallis
LIN7B,Second,log2rfu,372,161.58447115672743,2,8.17e-36,6.1406774193548385e-34,5.115831387777256e-33,Kruskal-Wallis
RBP,Second,log2rfu,372,161.5210469384699,2,8.44e-36,6.145375e-34,5.119744967480267e-33,Kruskal-Wallis
NR1D1,Second,log2rfu,372,161.37401284904217,2,9.080000000000001e-36,6.411030303030304e-34,5.341063829351812e-33,Kruskal-Wallis
IF4A3,Second,log2rfu,372,161.27670591958622,2,9.530000000000001e-36,6.530852941176472e-34,5.4408887136980155e-33,Kruskal-Wallis
Coagulation Factor V,Second,log2rfu,372,160.94930457241367,2,1.1199999999999999e-35,7.455999999999999e-34,6.211633704620609e-33,Kruskal-Wallis
Calcineurin B a,Second,log2rfu,372,160.78810447050137,2,1.22e-35,7.682702702702703e-34,6.40050094563948e-33,Kruskal-Wallis
Prothrombin,Second,log2rfu,372,160.78780959861479,2,1.22e-35,7.682702702702703e-34,6.40050094563948e-33,Kruskal-Wallis
ULBP-2,Second,log2rfu,372,160.60022045715732,2,1.34e-35,8.216315789473684e-34,6.845056878447052e-33,Kruskal-Wallis
C3a,Second,log2rfu,372,160.03024024316232,2,1.78e-35,1.011560975609756e-33,8.427368898037106e-33,Kruskal-Wallis
MRCKB,Second,log2rfu,372,160.0763075628788,2,1.7399999999999997e-35,1.011560975609756e-33,8.427368898037106e-33,Kruskal-Wallis
ULBP-1,Second,log2rfu,372,160.09445176347776,2,1.7199999999999998e-35,1.011560975609756e-33,8.427368898037106e-33,Kruskal-Wallis
PA2G4,Second,log2rfu,372,159.30965393153087,2,2.55e-35,1.3817441860465116e-33,1.1511385135743134e-32,Kruskal-Wallis
FABPE,Second,log2rfu,372,159.31953429815826,2,2.5399999999999997e-35,1.3817441860465116e-33,1.1511385135743134e-32,Kruskal-Wallis
CDON,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
FYN,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
JAK2,Second,log2rfu,372,158.24845800697403,2,4.33e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
JAK2,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
LYVE1,Third,log2rfu,326,157.5295770269163,2,6.209999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PA2G4,Third,log2rfu,326,157.51854924951476,2,6.239999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PDPK1,Second,log2rfu,372,158.91496999205515,2,3.0999999999999996e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PDPK1,Third,log2rfu,326,157.81933696186707,2,5.37e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
SIRT2,Second,log2rfu,372,158.35545016074798,2,4.11e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PCSK7,Third,log2rfu,326,157.85557719088024,2,5.27e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PTN,Second,log2rfu,372,157.5513710888597,2,6.14e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
METAP1,Second,log2rfu,372,158.90238132786635,2,3.1199999999999995e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
SPARCL1,Second,log2rfu,372,158.16920191668237,2,4.51e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Angiotensinogen,Second,log2rfu,372,158.9521110815906,2,3.05e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
EphA5,Second,log2rfu,372,158.65786477708707,2,3.5299999999999996e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
H6ST1,Second,log2rfu,372,159.05613455964158,2,2.89e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IL-17B R,Second,log2rfu,372,159.10572195780514,2,2.82e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
P-Selectin,Second,log2rfu,372,157.9846326376844,2,4.939999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Albumin,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Angiopoietin-1,Third,log2rfu,326,157.86213247550563,2,5.259999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
B7-H2,Third,log2rfu,326,157.63229730977264,2,5.9e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
CK2-A1:B,Third,log2rfu,326,157.6011774973565,2,5.99e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
CONA1,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Carbonic anhydrase 9,Third,log2rfu,326,157.78061901640763,2,5.47e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Cyclophilin F,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Cystatin-S,Third,log2rfu,326,157.84128331429974,2,5.31e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
DAF,Third,log2rfu,326,157.81933696186684,2,5.37e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
DRG-1,Third,log2rfu,326,157.78310122999665,2,5.47e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Elastase,Third,log2rfu,326,157.57798528260992,2,6.059999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Flt-3,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Galectin-2,Third,log2rfu,326,157.74405548189907,2,5.579999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Glucagon,Third,log2rfu,326,157.79368056400313,2,5.439999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
H6ST1,Third,log2rfu,326,157.81193015294048,2,5.389999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IF4G2,Third,log2rfu,326,157.85557719088024,2,5.27e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IGFBP-5,Third,log2rfu,326,157.7106432576859,2,5.669999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IL-13,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Integrin a1b1,Third,log2rfu,326,157.52559558866574,2,6.22e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
NCC27,Third,log2rfu,326,157.80698177302247,2,5.4e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
NSF1C,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
