Accession,ID_REF,Log2RFU
GSM4525301,SL000318,12.57905661
GSM4525301,SL002662,10.68860001
GSM4525301,SL003168,10.51668495
GSM4525301,SL000403,15.61636792
GSM4525301,SL000591,8.400025518
GSM4525301,SL000053,9.194264383
GSM4525301,SL004332,7.451211112
GSM4525301,SL000592,8.972118218
GSM4525301,SL000584,11.71964551
GSM4525301,SL003322,12.26898053
GSM4525301,SL000319,13.03319928
GSM4525301,SL000276,11.49325504
GSM4525301,SL003951,10.319785
GSM4525301,SL003060,13.09206337
GSM4525301,SL000324,11.83201971
GSM4525301,SL000345,11.06938263
GSM4525301,SL004016,13.74660879
GSM4525301,SL004333,8.30560579
GSM4525301,SL004342,10.22303634
GSM4525301,SL004066,8.644577357
GSM4525301,SL004182,9.016529748
GSM4525301,SL001716,10.08971529
GSM4525301,SL000133,8.605109074
GSM4525301,SL000573,15.69389799
GSM4525301,SL004010,14.32704031
GSM4525301,SL003043,10.97756614
GSM4525301,SL004365,8.090641752
GSM4525301,SL004643,8.949534933
GSM4525301,SL000055,15.21540787
GSM4525301,SL004144,10.68676313
GSM4525301,SL004142,10.42038134
GSM4525301,SL004143,12.42888355
GSM4525301,SL003193,12.80926571
GSM4525301,SL000563,15.27064939
GSM4525301,SL003280,12.87152026
GSM4525301,SL002539,13.83811072
GSM4525301,SL000300,8.36018867
GSM4525301,SL003328,15.94029065
GSM4525301,SL000466,14.15891732
GSM4525301,SL000045,11.22110373
GSM4525301,SL000498,14.3116419
GSM4525301,SL000038,9.996190995
GSM4525301,SL000527,15.59752012
GSM4525301,SL001796,13.51746025
GSM4525301,SL000546,13.98269061
GSM4525301,SL006114,10.39145842
GSM4525301,SL000002,13.76136424
GSM4525301,SL004126,9.025416445
GSM4525301,SL003735,8.861086906
GSM4525301,SL001996,11.47826403
GSM4525301,SL003738,9.658747037
GSM4525301,SL004180,10.16867212
GSM4525301,SL004692,9.316507819
GSM4525301,SL001777,9.823844875
GSM4525301,SL004136,10.32508054
GSM4525301,SL004759,12.38048812
GSM4525301,SL004140,10.59376459
GSM4525301,SL004141,11.78561594
GSM4525301,SL000009,8.859845344
GSM4525301,SL002519,9.50779464
GSM4525301,SL003803,7.611024797
GSM4525301,SL001890,9.599540966
GSM4525301,SL003872,12.8740592
GSM4525301,SL004751,9.468013034
GSM4525301,SL004697,7.363696745
GSM4525301,SL004698,10.54853296
GSM4525301,SL017612,16.33041274
GSM4525301,SL004588,14.41292042
GSM4525301,SL004147,9.784471265
GSM4525301,SL004148,8.984418459
GSM4525301,SL004149,11.39070637
GSM4525301,SL003307,12.85424505
GSM4525301,SL004646,10.51983279
GSM4525301,SL000509,12.4998957
GSM4525301,SL004579,13.49892398
GSM4525301,SL004153,9.140318539
GSM4525301,SL004637,9.554972496
GSM4525301,SL004760,13.15212637
GSM4525301,SL004183,15.55299624
GSM4525301,SL000551,16.32203376
GSM4525301,SL000557,10.73817672
GSM4525301,SL003648,15.32349814
GSM4525301,SL003178,10.10813237
GSM4525301,SL002506,11.98424043
GSM4525301,SL004230,10.70243245
GSM4525301,SL001992,9.995060467
GSM4525301,SL004639,12.08553885
GSM4525301,SL004672,11.78107279
GSM4525301,SL004081,11.55093913
