,gene,rowsums,rank,norm_rank
0,A2M,135.0,985.5,0.8862410071942446
1,DCN,116.0,937.0,0.8426258992805755
2,CPB2,58.0,697.5,0.627248201438849
3,SERPIND1,60.0,714.0,0.6420863309352518
4,CTSG,92.0,854.5,0.7684352517985612
5,F9,56.0,689.5,0.6200539568345323
6,TIMP1,192.0,1048.0,0.9424460431654677
7,ACP5,43.0,572.0,0.5143884892086331
8,MMP2,211.0,1066.5,0.9590827338129496
9,PLAT,121.0,956.5,0.8601618705035972
10,TGFB1,326.0,1099.0,0.9883093525179856
11,PON1,50.0,647.5,0.5822841726618705
12,SERPINE1,198.0,1053.5,0.9473920863309353
13,C1QBP,37.0,524.5,0.4716726618705036
14,CCL2,304.0,1097.0,0.9865107913669064
15,AFM,40.0,548.0,0.49280575539568344
16,IL2,296.0,1096.0,0.9856115107913669
17,IL4,290.0,1093.5,0.983363309352518
18,LTF,108.0,908.0,0.8165467625899281
19,HRG,61.0,722.0,0.6492805755395683
20,APOB,133.0,979.0,0.8803956834532374
21,AZU1,34.0,488.5,0.4392985611510791
22,PROC,45.0,603.0,0.5422661870503597
23,CTSD,78.0,809.0,0.7275179856115108
24,MMP8,68.0,772.5,0.6946942446043165
25,APOA1,128.0,973.0,0.875
26,C3,146.0,1001.0,0.9001798561151079
27,CFP,53.0,670.0,0.6025179856115108
28,APOE,199.0,1055.0,0.9487410071942446
29,CRP,227.0,1075.0,0.966726618705036
30,APCS,75.0,800.5,0.7198741007194245
31,MMP7,109.0,910.5,0.8187949640287769
32,MMP13,92.0,854.5,0.7684352517985612
33,THBS1,183.0,1041.0,0.9361510791366906
34,VWF,210.0,1064.5,0.9572841726618705
35,PDGFRB,185.0,1044.0,0.9388489208633094
36,TIMP2,110.0,914.0,0.8219424460431655
37,LGALS3BP,35.0,501.0,0.4505395683453237
38,IL1A,290.0,1093.5,0.983363309352518
39,IL1B,424.0,1110.0,0.9982014388489209
40,C9,55.0,682.0,0.6133093525179856
41,FGF2,253.0,1087.0,0.9775179856115108
42,KLKB1,63.0,740.5,0.6659172661870504
43,HPX,68.0,772.5,0.6946942446043165
44,ITIH4,87.0,844.5,0.7594424460431655
45,TIMP3,88.0,846.5,0.7612410071942446
46,MFGE8,42.0,562.0,0.5053956834532374
47,AHSG,100.0,884.0,0.7949640287769785
48,EGFR,378.0,1106.0,0.9946043165467626
49,IGFBP1,54.0,675.0,0.6070143884892086
50,SERPING1,83.0,830.5,0.7468525179856115
51,MMP10,38.0,532.5,0.47886690647482016
52,APP,211.0,1066.5,0.9590827338129496
53,ADAMTS1,26.0,401.0,0.3606115107913669
54,ALB,382.0,1107.0,0.9955035971223022
55,PF4,133.0,979.0,0.8803956834532374
56,MASP1,51.0,653.0,0.5872302158273381
57,MMP3,162.0,1023.0,0.9199640287769785
58,LRP8,27.0,412.5,0.37095323741007197
59,CXCL10,225.0,1074.0,0.9658273381294964
60,FGB,86.0,842.0,0.7571942446043165
61,CXCL8,330.0,1100.0,0.9892086330935251
62,F2,122.0,959.0,0.862410071942446
63,PRSS1,35.0,501.0,0.4505395683453237
64,PLG,181.0,1038.5,0.9339028776978417
65,LEP,197.0,1051.5,0.9455935251798561
66,KLK3,62.0,731.0,0.6573741007194245
67,CLU,119.0,949.0,0.8534172661870504
68,SERPINF2,73.0,795.0,0.7149280575539568
69,C7,32.0,464.5,0.4177158273381295
70,MMP1,148.0,1002.0,0.9010791366906474
71,SERPINA4,34.0,488.5,0.4392985611510791
72,CST3,89.0,850.0,0.7643884892086331
73,SHBG,46.0,614.5,0.5526079136690647
74,SPARCL1,28.0,426.5,0.3835431654676259
75,RBP4,46.0,614.5,0.5526079136690647
76,KLK13,13.0,214.0,0.19244604316546762
77,AIF1,97.0,873.0,0.7850719424460432
78,PRSS3,12.0,195.0,0.17535971223021582
79,IGF2R,56.0,689.5,0.6200539568345323
80,KLK11,16.0,262.5,0.2360611510791367
81,NME2,42.0,562.0,0.5053956834532374
82,SAA1,104.0,896.0,0.8057553956834532
83,GHR,70.0,781.5,0.7027877697841727
84,ANXA6,19.0,314.0,0.2823741007194245
85,SERPINA7,28.0,426.5,0.3835431654676259
86,MAPT,109.0,910.5,0.8187949640287769
87,AGT,198.0,1053.5,0.9473920863309353
88,F10,63.0,740.5,0.6659172661870504
89,SERPINA5,40.0,548.0,0.49280575539568344
90,AGER,64.0,749.5,0.6740107913669064
91,GSN,61.0,722.0,0.6492805755395683
92,CFI,61.0,722.0,0.6492805755395683
93,CD5L,28.0,426.5,0.3835431654676259
94,F7,55.0,682.0,0.6133093525179856
95,C4A,94.0,858.0,0.7715827338129496
96,F3,122.0,959.0,0.862410071942446
97,GAPDH,403.0,1109.0,0.9973021582733813
98,CFH,76.0,804.5,0.7234712230215827
99,IGFBP3,93.0,856.0,0.7697841726618705
100,APOD,31.0,453.5,0.40782374100719426
101,PIGR,37.0,524.5,0.4716726618705036
102,IGF1,254.0,1088.0,0.9784172661870504
103,C1S,62.0,731.0,0.6573741007194245
104,HBB,40.0,548.0,0.49280575539568344
105,ACAN,99.0,880.5,0.79181654676259
106,F5,55.0,682.0,0.6133093525179856
107,LRPAP1,8.0,124.0,0.11151079136690648
108,F11,52.0,661.5,0.5948741007194245
109,TGFB2,130.0,975.0,0.8767985611510791
110,MBL2,95.0,861.0,0.7742805755395683
111,MMP12,82.0,826.0,0.7428057553956835
112,INS,333.0,1101.0,0.9901079136690647
113,GPT,106.0,903.0,0.8120503597122302
114,C1R,58.0,697.5,0.627248201438849
115,PLAU,138.0,989.0,0.8893884892086331
116,NGF,177.0,1033.0,0.9289568345323741
117,CFB,64.0,749.5,0.6740107913669064
118,ELANE,111.0,917.0,0.8246402877697842
119,FGG,91.0,853.0,0.7670863309352518
120,CTSB,115.0,934.0,0.8399280575539568
121,B2M,157.0,1016.5,0.9141187050359713
122,TF,47.0,622.5,0.5598021582733813
123,TNF,503.0,1112.0,1.0
124,FGA,112.0,922.5,0.8295863309352518
125,MMP9,318.0,1098.0,0.987410071942446
126,IL10,359.0,1103.0,0.9919064748201439
127,FN1,365.0,1104.0,0.9928057553956835
128,HAMP,39.0,539.5,0.4851618705035971
129,KNG1,139.0,992.0,0.8920863309352518
130,SERPINC1,105.0,899.0,0.8084532374100719
131,SERPINA3,64.0,749.5,0.6740107913669064
132,IL6,501.0,1111.0,0.9991007194244604
133,SERPINA1,138.0,989.0,0.8893884892086331
134,KLK4,52.0,661.5,0.5948741007194245
135,HP,113.0,929.5,0.8358812949640287
136,ABL1,127.0,969.5,0.8718525179856115
137,CD4,377.0,1105.0,0.9937050359712231
138,CD22,70.0,781.5,0.7027877697841727
139,MAPK12,52.0,661.5,0.5948741007194245
140,MAPK1,169.0,1029.0,0.9253597122302158
141,GZMH,33.0,476.5,0.4285071942446043
142,AURKA,64.0,749.5,0.6740107913669064
143,CDC37,55.0,682.0,0.6133093525179856
144,EPOR,72.0,790.0,0.710431654676259
145,MPO,143.0,995.0,0.8947841726618705
146,CSF3,223.0,1073.0,0.9649280575539568
147,CDKN1B,84.0,835.0,0.7508992805755396
