ID,PT_LIST,SeqId,Target,TargetFullName,UniProt,ENTREZ_GENE_ID_LIST,EntrezGeneSymbol,SPOT_ID
SL000318,"P0C0L4,P0C0L5",2182-54_1,C4b,Complement C4b,P0C0L4 P0C0L5,"720,721",C4A C4B,SL000318
SL002662,P03951,2190-55_1,Coagulation Factor XI,Coagulation Factor XI,P03951,2160,F11,SL002662
SL003168,Q9Y4X3,2192-63_10,CTACK,C-C motif chemokine 27,Q9Y4X3,10850,CCL27,SL003168
SL000403,P39060,2201-17_6,Endostatin,Endostatin,P39060,80781,COL18A1,SL000403
SL000591,P01033,2211-9_6,TIMP-1,Metalloproteinase inhibitor 1,P01033,7076,TIMP1,SL000591
SL000053,P00750,2212-69_1,tPA,Tissue-type plasminogen activator,P00750,5327,PLAT,SL000053
SL004332,P58294,2247-20_11,EG-VEGF,Prokineticin-1,P58294,84432,PROK1,SL004332
SL000592,P16035,2278-61_4,TIMP-2,Metalloproteinase inhibitor 2,P16035,7077,TIMP2,SL000592
SL000584,P01137,2333-72_1,TGF-b1,Transforming growth factor beta-1,P01137,7040,TGFB1,SL000584
SL003322,P35916,2358-19_2,VEGF sR3,Vascular endothelial growth factor receptor 3,P35916,2324,FLT4,SL003322
SL000319,P01031,2381-52_4,C5,Complement C5,P01031,727,C5,SL000319
SL000276,P02649,2418-55_9,Apo E,Apolipoprotein E,P02649,348,APOE,SL000276
SL003951,P23560,2421-7_3,BDNF,Brain-derived neurotrophic factor,P23560,627,BDNF,SL003951
SL003060,P11362,2424-69_4,bFGF-R,Fibroblast growth factor receptor 1,P11362,2260,FGFR1,SL003060
SL000324,"P07357,P07358,P07360",2429-27_4,C8,Complement component C8,P07357 P07358 P07360,"731,732,733",C8A C8B C8G,SL000324
SL000345,P08311,2431-17_3,Cathepsin G,Cathepsin G,P08311,1511,CTSG,SL000345
SL004016,Q9H2A7,2436-49_4,"CXCL16, soluble",C-X-C motif chemokine 16,Q9H2A7,58191,CXCL16,SL004016
SL004333,O15520,2441-2_4,FGF-10,Fibroblast growth factor 10,O15520,2255,FGF10,SL004333
SL004342,P55075,2443-10_4,FGF-8B,Fibroblast growth factor 8 isoform B,P55075,2253,FGF8,SL004342
