ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,SPOT_ID
CRYBB2.10000.28,10000-28,3.0,SL019233,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,Human,RFU,Protein,SL019233
RAF1.10001.7,10001-7,3.0,SL002564,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,5894,RAF1,Human,RFU,Protein,SL002564
ZNF41.10003.15,10003-15,3.0,SL019245,Zinc finger protein 41,ZNF41,P51814,7592,ZNF41,Human,RFU,Protein,SL019245
ELK1.10006.25,10006-25,3.0,SL019228,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,Human,RFU,Protein,SL019228
GUCA1A.10008.43,10008-43,3.0,SL019234,Guanylyl cyclase-activating protein 1,GUC1A,P43080,2978,GUCA1A,Human,RFU,Protein,SL019234
BECN1.10010.10,10010-10,3.0,SL014943,Beclin-1,BECN1,Q14457,8678,BECN1,Human,RFU,Protein,SL014943
OCRL.10011.65,10011-65,3.0,SL019246,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,Human,RFU,Protein,SL019246
SPDEF.10012.5,10012-5,3.0,SL014669,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,25803,SPDEF,Human,RFU,Protein,SL014669
NoneX.10013.34,10013-34,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
SNAI2.10014.31,10014-31,3.0,SL007803,Zinc finger protein SNAI2,SLUG,O43623,6591,SNAI2,Human,RFU,Protein,SL007803
KCNAB2.10015.119,10015-119,3.0,SL014924,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,Human,RFU,Protein,SL014924
NoneX.10021.1,10021-1,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
POLH.10022.207,10022-207,3.0,SL019229,DNA polymerase eta,POLH,Q9Y253,5429,POLH,Human,RFU,Protein,SL019229
VDR.10023.32,10023-32,3.0,SL004071,Vitamin D3 receptor,VDR,P11473,7421,VDR,Human,RFU,Protein,SL004071
HOGA1.10024.44,10024-44,3.0,SL019235,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,112817,HOGA1,Human,RFU,Protein,SL019235
DLD.10025.1,10025-1,3.0,SL008018,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH,P09622,1738,DLD,Human,RFU,Protein,SL008018
MUTYH.10030.8,10030-8,3.0,SL006373,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,Human,RFU,Protein,SL006373
