,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
14-3-3,-0.01855076881187955,-0.046695484796774135,0.02273158674210261,0.06107851896431581,0.020422700043102506,0.0026066257460639524,0.017205121193985647,0.029022894723905863,-0.01287275197865116,-0.005406181275371322,-0.05670231633506966,-0.0017389833491013966,-0.014739605479309421,0.05747271857482578,-0.025533923065888007,-0.02718463246744774,-0.019157855326377208,0.042846618716187036,0.06192577168474889,-0.031807374820544375
17-beta-HSD 1,-0.019889593152752887,-0.028232085908631955,-0.004854147853629207,0.0012556354039236909,-0.009575414371114754,-0.008219427309904983,-0.014412840742021777,0.009329382917691628,0.021050179560716788,-0.018470585289972415,0.01994988273332566,-0.023369423180457757,-0.001466767137251005,-0.05009850017925478,-0.009961991717868676,0.04439849108557319,0.0022103199719090043,0.028751227870338365,-0.018661938207343194,-0.01992184228910231
3HIDH,0.005597149623784267,-0.021173402344732563,0.0011601401962434068,0.0014603039644046241,0.03716876493666252,0.02036147864541668,0.029805394635424677,-0.009181589106343944,0.012948392831000875,0.015142285258449224,-0.012583740059758968,0.008084974733845469,0.008588455283543473,0.026639854284607085,-0.0027314348030673006,0.0031979903567917003,0.014872263454162727,-0.04428732086388198,-0.03023607040124522,-0.001486029072042569
4-1BB,0.04886883651254984,-0.03213224169455741,-0.01993344060158792,0.025342738243338832,-0.030826903575440563,0.002403384674232015,0.007032616202321335,-0.018858758040300135,-0.02001734997263212,0.008724030308960217,0.0028210948004166185,-0.01079648124758412,0.021433938522689707,-0.015286412231418599,-0.030059949583720613,-0.006071510105402174,-0.019511169609478997,-0.012988187771613542,-0.012244449711355472,0.020415183356891624
4-1BB ligand,0.01529891217345217,-0.022385501158671155,-0.010821198209066778,0.0171187492342715,-0.01902394635749832,0.013806754115726445,0.10252992879965957,0.017803013727897315,0.017716643086998298,0.021345981141666116,0.08053669206374052,-0.03415119981990344,-0.0018934416067468234,0.023746740589001218,-0.006959058448200613,0.0008722957370053962,-0.0029697841583506343,-0.022452076424156676,0.054855142515386986,-0.05236972685447456
40S ribosomal protein SA,0.011739109728356796,-0.019030906029047747,-0.024181569176131658,-0.011936773442875494,0.021843529974238825,0.0013351908735593054,-0.010499567760223386,0.0038480605368088994,-0.0139004408560056,-0.01410005944177409,-0.041395232107614484,-0.04694647773913406,0.026150633548982432,0.023016425537170628,0.005620402131091235,-0.03871779922547149,-0.009967300799043621,-0.031542874499317,0.000366320139303674,-0.014260291553311806
41,-0.011615599961032504,0.019507153782242576,0.006842872237817962,0.05509468297687979,-0.022708343488451018,0.051640242254529824,-0.05882233661287956,-0.06352445858845877,0.015791842542060792,-0.06747689823993815,0.04940114080448388,-0.029266100560670628,0.004598446983596027,-0.0018295519459419613,0.026857646865431347,0.01386584394301709,-0.034346861836715856,0.004018522641125324,-0.012461702210333154,0.017006825549036608
4EBP2,0.029574093008032525,-0.0023221574310409326,-0.007453068472939034,0.03522369515289271,0.0045505115385195685,0.009326427565529918,-0.0026694923237797967,-0.0024518075909690496,-0.012699175816075752,-0.0038835272888527693,-0.010797540683710877,0.014582549597616354,0.007322391219166117,-0.03841642689636883,-0.0943107011032938,-0.03048854702288167,-0.0011559743437942341,-0.011302904908813345,-0.03396112646983339,0.02139723343756814
6-Phosphogluconate dehydrogenase,0.04386989657933823,0.017955539501492597,0.06652752454109506,0.02156253862949728,0.024355603942215507,-0.033377309913736386,-0.011035843551365904,0.012094448555265593,0.03634036511111908,0.0069244649015547,0.020749551960450755,0.014112619061767587,-0.024087658591806015,-0.01870591376112642,0.0037933983674762516,0.012655453358551666,-0.01041303573882788,-0.018162566474948707,0.010612651197506297,-0.0008597253656235335
6Ckine,-0.021449919091834538,-0.025271863238327554,-0.0012555158952214129,-0.0172561607021936,0.017651209553215464,0.03512203963128628,0.023627379939413305,-0.06415210965079678,0.006321507492777714,-0.003049306142718955,-0.015716737239738047,0.0003901536718482623,0.0598014078525901,0.011421397347589901,0.005953680602711895,-0.029331716688703463,0.04290816670839605,-0.014528192035654058,-0.0020690611540533426,-0.03123541739082846
ABL1,0.015903980111625745,-0.04135641788628045,-0.012939198793762608,0.014279300596183315,-0.008312528640361593,0.02932601401417265,0.016926765344278293,0.02238575092681778,-0.02175692731781586,0.038308071133082995,0.03643814599621603,0.0064902574783337885,-0.024501319565284667,-0.06925107866794306,0.009528442596537515,-0.048631862883653884,0.06643982579950956,0.03217369621788357,-0.015070512923223547,0.004817527451863649
ABL2,-0.019697164083397525,-0.025746173716085743,0.015093168032657303,-0.005842447854416641,-0.018912289614707405,-0.009749427515344586,-0.02197307115105823,-0.009168532452699957,0.03992728833100295,-0.0032930164342759908,-9.665563631447888e-05,0.01568992932721083,0.040197823714216326,-0.08970477388711325,0.014675482244092888,0.02594705518477046,0.01372682916069107,0.0365624367424323,-0.04683997561848549,-0.06263924791177475
ACE2,0.028900713929332446,-0.01975562653772523,0.004846751356211784,0.05665102632373458,-0.020228725285063906,0.030767753807536328,-0.025660335184447877,-0.02117069291968126,-0.004056616472363583,0.031157995877096646,0.03318941145846159,0.021440282943863354,-0.006037679534588485,-0.017388235451385382,-0.029954838618958052,0.05228112017572763,0.0383151160130606,0.02358126778143941,0.023035250029009403,0.02682507559262885
ACTH,0.017234589202277696,-0.01644460566568565,0.004850199667420395,0.008382738897317511,0.013036384555073855,0.02892639829341599,-0.034597801142139915,-0.015601461419977083,0.10057825999345174,0.0276127065581879,0.012687821652245086,0.018611747317825417,-0.09808979055619797,0.11101435128578103,-0.0249529189468391,0.009986396376466658,0.08121646081474822,-0.04952996230959433,0.03683025791037465,-0.05639287557148887
ADAM 9,0.03769424719326247,-0.0021586245494448807,0.04373404941595853,0.022864222511757612,0.014132390298329205,-0.03371234482510269,-0.003839827820988951,0.0023724469675347436,0.0038869426202024857,0.05220361878930502,-0.005610944206707873,0.024195072182929267,-0.006779877393133554,-0.011594403500219602,0.001850215237772858,-0.007945405403681523,-0.013548743895467534,-0.030631469695932865,0.01511857051858474,0.018560221487212317
ADAM12,-0.02742140519789642,-0.026466333903282107,0.020502212887145994,0.020995047163320867,-0.015201078153969646,-0.045484524370877466,0.015298464765861207,0.06533392450042205,-0.009271353385015826,0.0175861316150636,0.0696051094558427,0.036844937440045335,-0.014883507543012408,-0.03155331300298691,0.0006093035264297341,-0.030717426854456834,-0.009003289599836307,0.007644144183371282,0.0020367367480110007,-0.01673939737043636
