,names,scores,logfoldchanges,pvals,pvals_adj
0,PDCL3,16.900326,3.227972,4.474283288104561e-64,8.069817338425386e-60
1,PRR13P5,16.197092,1.9225843,5.286787160915252e-59,3.1726167584649624e-55
2,PHOSPHO1,16.1795,5.2747726,7.036187089077317e-59,3.1726167584649624e-55
3,TMEM37,16.016888,6.1162868,9.740636753996082e-58,2.509744635643905e-54
4,DNAJC15,15.886881,1.6645634,7.811882851573478e-57,1.7611889888872407e-53
5,SELENOW,15.770176,1.6442769,4.99103289133289e-56,1.0002029914231113e-52
6,CLDN10,15.710966,5.135173,1.2722637263362622e-55,2.2946548568200824e-52
7,SORBS1,15.645534,4.5824475,3.563690276731332e-55,5.356226485927192e-52
8,PRR13,15.519604,2.0913455,2.556236957020623e-54,3.104600469649805e-51
9,NANOGNB,15.51896,5.5401235,2.5820030519376285e-54,3.104600469649805e-51
10,POU5F1,15.505445,4.406251,3.187013067934215e-54,3.5925604808288444e-51
11,ATP6V0D2,15.391744,5.245402,1.8595344468856588e-53,1.8632535157794302e-50
12,NLRP7,15.258306,1.6981907,1.4496482607150005e-52,1.376097685802934e-49
13,FOXR1,15.1100645,4.429374,1.3900416951065137e-51,1.1938472387114801e-48
14,MX1,15.042916,4.9902973,3.8424439414281745e-51,3.150105405799934e-48
15,MYBL2,14.841686,2.9334292,7.875161422941593e-50,5.918183809340607e-47
16,ALPL,14.743859,4.3714833,3.369628972067074e-49,2.43098512560807e-46
17,SCGB3A2,14.659334,4.609019,1.1741808770286295e-48,7.843528258551244e-46
18,FAM151A,14.582318,5.4249473,3.639466630517704e-48,2.1880473382672437e-45
19,ASRGL1,14.4660425,2.286408,1.9857457445454086e-47,1.119215945269406e-44
20,SLC4A11,14.416057,3.2500167,4.1011600416407876e-47,2.2164856031754562e-44
21,DNMT3L,14.414769,1.6177027,4.178338351517272e-47,2.2164856031754562e-44
22,TUBB4A,14.305358,3.4849799,2.0259160558462253e-46,1.014983943978959e-43
23,VSIG10,14.284334,2.8846476,2.740153930424417e-46,1.3357139537603996e-43
24,DHRS3,14.208176,5.2480183,8.152154075773863e-46,3.675806272766434e-43
25,NMU,14.051568,5.100407,7.53469540470997e-45,3.235613483794024e-42
26,PRAP1,14.043201,3.3387198,8.479390081321657e-45,3.5566111513190096e-42
27,ATP1B1,14.022178,2.9171457,1.1406070777331337e-44,4.675452103180636e-42
28,HMGB3,13.978413,1.7582016,2.111437600186789e-44,8.278671425428028e-42
29,ANPEP,13.930787,2.1454747,4.117919320930881e-44,1.5802296355810504e-41
30,RIMKLB,13.896677,3.2542224,6.635130427018233e-44,2.493150257952101e-41
31,CYP2S1,13.852698,2.7059538,1.2252241421770709e-43,4.4196285256611303e-41
32,FP565260.4,13.825667,1.6609244,1.7845081462839842e-43,6.310860573799596e-41
33,ALPG,13.72355,2.8888323,7.338237299703251e-43,2.4509712581008858e-40
34,PRPSAP1,13.693945,2.5530505,1.1035167347741373e-42,3.61873233243388e-40
35,MT1X,13.687723,4.8927174,1.2021696471283162e-42,3.8718449563582695e-40
36,FBXL20,13.660263,3.4253345,1.7534805662399768e-42,5.548381665386706e-40
37,UGCG,13.62315,2.786152,2.9171040218922455e-42,9.071187610146299e-40
38,AK4,13.599551,2.7744157,4.028979545710652e-42,1.2111112514406221e-39
39,PTGES,13.534763,1.7244245,9.749656038407091e-42,2.7911872429954015e-39
40,SNX8,13.530044,1.9852818,1.0396255725973089e-41,2.9297948167757913e-39
41,GSTP1,13.525324,1.0764104,1.1085492440606073e-41,3.075968333211863e-39
42,GPCPD1,13.509448,3.075056,1.3754852792298365e-41,3.758826135786262e-39
43,ATP1A1,13.439082,1.4067527,3.5683575427919983e-41,9.4645436237936e-39
44,SPTLC2,13.427497,2.6857119,4.1727646663331034e-41,1.0907243988693312e-38
45,CYP26A1,13.414625,5.069094,4.964346016546151e-41,1.2790992107775196e-38
46,NDUFAB1,13.397892,0.8506673,6.220490722216901e-41,1.5801798685338594e-38
47,S100A16,13.366141,1.2910076,9.53608104368631e-41,2.388788301443421e-38
48,SLC17A5,13.346833,2.807354,1.2359150378739091e-40,3.053556660697784e-38
49,KLF4,13.336107,4.006443,1.4272004510639397e-40,3.4785118020796235e-38
50,GPX1,13.327097,1.5058123,1.6104361418573892e-40,3.87277683393865e-38
51,AK4P3,13.295775,2.7455816,2.449212964573087e-40,5.663333978082076e-38
52,NRIP3,13.249007,4.095968,4.572095317918211e-40,1.0438267234680107e-37
53,MT1G,13.179285,4.8350415,1.15480158487829e-39,2.6035001731081047e-37
54,GPRC5A,13.15633,2.9448752,1.5650486375397042e-39,3.4848416329217417e-37
55,PRSS23,13.103127,3.6439214,3.159688454120953e-39,6.78430249506256e-37
56,UQCC3,13.049923,2.0912678,6.36118872610991e-39,1.334074417024632e-36
57,HMGB3P6,13.044774,1.4117575,6.805852118452674e-39,1.410923549521982e-36
58,UACA,13.035764,3.1466525,7.659622407875471e-39,1.5522353904319325e-36
59,DLG3,12.977626,3.055847,1.6388227483333145e-38,3.284200787659962e-36
60,AP2M1,12.960249,0.71725905,2.0557977332561433e-38,4.074545924945912e-36
61,PPP1R14A,12.90447,1.8176982,4.247238381734373e-38,8.236902306770017e-36
62,ATG3,12.889883,1.2605705,5.132189206197936e-38,9.74359626557747e-36
63,EFHD1,12.889025,3.309967,5.189611622231122e-38,9.74998283526672e-36
64,NAGA,12.868429,3.8123224,6.776606071029668e-38,1.26002955770197e-35
65,CD9,12.860277,2.0610921,7.530603449912823e-38,1.3859384063533437e-35
66,OXT,12.857703,3.4992354,7.785607648792045e-38,1.4183961571072052e-35
67,SLC25A39,12.851696,0.93808526,8.414489402308391e-38,1.5176373086003416e-35
68,CALM3,12.842257,1.217987,9.506241302192192e-38,1.697569981448895e-35
