names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000010810,18.990002,6.0789776,2.063182395284114e-80,5.539851049577375e-76
ENSG00000081237,18.888697,6.2047396,1.4128947628146328e-79,1.8968818638167853e-75
ENSG00000101109,18.286476,4.8602405,1.0605340388494981e-74,9.492133159049291e-71
ENSG00000154217,18.16336,6.223095,1.006689123369106e-73,6.757652412895967e-70
ENSG00000100354,18.105516,3.9862435,2.8829050348600624e-73,1.5481776618205506e-69
ENSG00000158985,18.03503,3.986281,1.0343879282684632e-72,4.6290583769894175e-69
ENSG00000150867,17.671137,4.4708085,6.997202664290033e-70,2.684026981983595e-66
ENSG00000114423,17.580341,4.689047,3.484697703349668e-69,1.1695952254080242e-65
ENSG00000115935,17.364534,5.4553394,1.53136600506641e-67,4.568745400226464e-64
ENSG00000152601,17.292704,3.5829275,5.3387903992640194e-67,1.3211886345393216e-63
ENSG00000162434,17.291914,3.7496397,5.412489285290134e-67,1.3211886345393216e-63
ENSG00000174373,17.266785,5.006868,8.36756258787974e-67,1.872311858726324e-63
ENSG00000027075,17.181126,4.864076,3.6770327135528513e-66,7.594769645508277e-63
ENSG00000078304,17.064806,4.0354123,2.7128531880516573e-65,5.203058639455361e-62
ENSG00000101445,16.983099,8.93799,1.0954621482976876e-64,1.9609502762627473e-61
ENSG00000197971,16.96856,5.062267,1.4033386619929854e-64,2.3550654008233533e-61
ENSG00000075884,16.850817,6.3904314,1.034750272355752e-63,1.6343576213543704e-60
ENSG00000198821,16.819683,7.9082274,1.750938432046582e-63,2.6119137688268204e-60
ENSG00000134954,16.491665,7.790913,4.21178989024545e-61,5.952145807525294e-58
ENSG00000124406,16.388464,7.272055,2.3121525156237965e-60,3.104180359850728e-57
ENSG00000101596,16.36926,3.384917,3.170383279429138e-60,4.053712449331037e-57
ENSG00000138767,16.24986,3.8904908,2.2387441930860597e-59,2.7323872876615357e-56
ENSG00000138378,16.240458,7.1050706,2.6097424235841127e-59,3.046704078941609e-56
ENSG00000048740,16.211535,4.933428,4.179976327034395e-59,4.676522681550023e-56
ENSG00000112182,16.194782,5.877259,5.4891609356701036e-59,5.895578411347118e-56
ENSG00000205268,16.08273,3.48302,3.371858806793817e-58,3.482222339277722e-55
ENSG00000251562,16.023464,3.0725477,8.76293005925682e-58,8.714571667448328e-55
ENSG00000124788,15.966252,4.30667,2.1958807197582843e-57,2.1057711859367747e-54
ENSG00000183943,15.942072,5.5627923,3.2344763221590957e-57,2.9947904733204785e-54
ENSG00000107771,15.906829,4.038171,5.68196100578845e-57,5.0855444988808565e-54
ENSG00000020633,15.723658,6.116267,1.0413491387647814e-55,9.01976313708811e-53
ENSG00000101745,15.708406,3.124718,1.3246744958210404e-55,1.111526090227836e-52
ENSG00000178764,15.628594,3.7713084,4.649438760713207e-55,3.7830933383003126e-52
ENSG00000047365,15.611289,5.791095,6.099208432882608e-55,4.81676016562738e-52
ENSG00000206503,15.54665,4.4271255,1.676494639071749e-54,1.286158787249015e-51
