gene,har_id,chr,start,end,overlap_width,introgression_AFR,introgression_AMR,introgression_EAS,introgression_EUR,introgression_SAS,,*gene set in enriched GO terms (artery development)
RAP1GAP2,ZOOHAR.124,17,2983316,2983805,490,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
MECOM,ZOOHAR.280,3,169573943,169574399,457,2.57%,0.86%,1.59%,0.60%,4.29%,,
ZBTB16,ZOOHAR.8,11,114229056,114229464,409,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
TRPS1,ZOOHAR.295,8,115702438,115702753,316,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
CDC27,ZOOHAR.76,17,47119431,47119715,285,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
AKAP6,ZOOHAR.120,14,32641925,32642197,273,0%,0%,0.99%,0.80%,1.84%,,
RTN4,ZOOHAR.5,2,55106823,55107087,265,0%,0%,0%,0%,0.82%,,present in proteomics dataset + its receptor is present there too
TRPS1,ZOOHAR.141,8,115705131,115705318,188,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
ROBO2,ZOOHAR.98,3,76365380,76365546,167,0%,8.07%,30.75%,0.20%,5.32%,,present in proteomics dataset
HECTD1,ZOOHAR.27,14,31100112,31100271,160,0%,0.58%,0.40%,0%,0%,,
GALNT1,ZOOHAR.111,18,35581701,35581856,156,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
CHD7,ZOOHAR.28,8,60782028,60782167,140,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
TEAD1,ZOOHAR.65,11,12817772,12817899,128,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
ZFHX3,ZOOHAR.258,16,73505074,73505197,124,1.06%,14.41%,7.54%,6.16%,14.31%,,
SMARCA2,ZOOHAR.100,9,2050812,2050930,119,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
LRP1,ZOOHAR.82,12,57133425,57133539,115,0.30%,4.03%,11.90%,0.40%,0.82%,,
ZMYND11,ZOOHAR.85,10,189086,189192,107,0%,0.86%,0%,0.60%,0%,,
TAB2,ZOOHAR.178,6,149236657,149236759,103,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
CCNE1,ZOOHAR.130,19,29812386,29812480,95,0.15%,14.99%,21.83%,0%,0.61%,,
ZFHX3,ZOOHAR.22,16,73095603,73095697,95,1.06%,14.41%,7.54%,6.16%,14.31%,,
NSD3,ZOOHAR.71,8,38380653,38380744,92,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
OLA1,ZOOHAR.123,2,174108989,174109077,89,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
RAP1GAP2,ZOOHAR.200,17,2983230,2983315,86,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
RABGAP1,ZOOHAR.25,9,122957885,122957947,63,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
SDK2,ZOOHAR.67,17,73382661,73382719,59,0%,0%,0.79%,0.40%,0.20%,,
SMARCA2,ZOOHAR.233,9,2081746,2081802,57,No adaptive signal haplotype in this region / no introgression in this region,,,,,,
TNIK,ZOOHAR.24,3,171102069,171102123,55,1.66%,5.19%,0.99%,4.37%,1.43%,,
LRRC41,ZOOHAR.212,1,46278109,46278161,53,0%,0%,1.19%,0%,3.48%,,
AGAP1,ZOOHAR.1,2,235865386,235865436,51,1.21%,18.73%,5.36%,28.63%,9.61%,,
