chromosome,gene,transcript,canonical,lof.oe_ci.upper,lof.oe_ci.upper_bin_decile,leiden,rowsum,norm_rank
NA,AAK1,NM_014911.5,TRUE,0.406,NA,1,52659927,0.9577417551704864
NA,AAK1,NM_014911.5,TRUE,0.406,NA,15,32436347,0.5010695496328843
NA,AAK1,NM_014911.5,TRUE,0.406,NA,9,34230404,0.8996172366958883
NA,AAK1,NM_014911.5,TRUE,0.406,NA,11,34041770,0.6672863500647851
NA,AAK1,NM_014911.5,TRUE,0.406,NA,0,30525109,0.8420953693840466
NA,AAK1,NM_014911.5,TRUE,0.406,NA,6,176172529,0.5000376704588262
chr2,AAK1,ENST00000409085,TRUE,0.406,1,1,52659927,0.9577417551704864
chr2,AAK1,ENST00000409085,TRUE,0.406,1,15,32436347,0.5010695496328843
chr2,AAK1,ENST00000409085,TRUE,0.406,1,9,34230404,0.8996172366958883
chr2,AAK1,ENST00000409085,TRUE,0.406,1,11,34041770,0.6672863500647851
chr2,AAK1,ENST00000409085,TRUE,0.406,1,0,30525109,0.8420953693840466
chr2,AAK1,ENST00000409085,TRUE,0.406,1,6,176172529,0.5000376704588262
NA,AAMP,NM_001087.5,TRUE,0.372,NA,1,47954261,0.9058133035215205
NA,AAMP,NM_001087.5,TRUE,0.372,NA,15,38426151,0.9858935075446608
NA,AAMP,NM_001087.5,TRUE,0.372,NA,9,30192785,0.6479812322508952
NA,AAMP,NM_001087.5,TRUE,0.372,NA,11,52952545,0.9613542898991606
NA,AAMP,NM_001087.5,TRUE,0.372,NA,0,29631319,0.778745535434551
NA,AAMP,NM_001087.5,TRUE,0.372,NA,6,176172529,0.5000376704588262
chr2,AAMP,ENST00000248450,TRUE,0.372,0,1,47954261,0.9058133035215205
chr2,AAMP,ENST00000248450,TRUE,0.372,0,15,38426151,0.9858935075446608
chr2,AAMP,ENST00000248450,TRUE,0.372,0,9,30192785,0.6479812322508952
chr2,AAMP,ENST00000248450,TRUE,0.372,0,11,52952545,0.9613542898991606
chr2,AAMP,ENST00000248450,TRUE,0.372,0,0,29631319,0.778745535434551
chr2,AAMP,ENST00000248450,TRUE,0.372,0,6,176172529,0.5000376704588262
NA,ABCA1,NM_005502.4,TRUE,0.563,NA,1,39886331,0.7576858580212409
NA,ABCA1,NM_005502.4,TRUE,0.563,NA,15,33815720,0.7154997976527722
NA,ABCA1,NM_005502.4,TRUE,0.563,NA,9,31895205,0.7846030374120262
NA,ABCA1,NM_005502.4,TRUE,0.563,NA,11,27398185,0.44758041800461945
NA,ABCA1,NM_005502.4,TRUE,0.563,NA,0,29584850,0.7759884704555423
NA,ABCA1,NM_005502.4,TRUE,0.563,NA,6,176172529,0.5000376704588262
chr9,ABCA1,ENST00000374736,TRUE,0.563,1,1,39886331,0.7576858580212409
chr9,ABCA1,ENST00000374736,TRUE,0.563,1,15,33815720,0.7154997976527722
chr9,ABCA1,ENST00000374736,TRUE,0.563,1,9,31895205,0.7846030374120262
chr9,ABCA1,ENST00000374736,TRUE,0.563,1,11,27398185,0.44758041800461945
chr9,ABCA1,ENST00000374736,TRUE,0.563,1,0,29584850,0.7759884704555423
chr9,ABCA1,ENST00000374736,TRUE,0.563,1,6,176172529,0.5000376704588262
NA,ABCA12,NM_173076.3,TRUE,0.582,NA,1,16528474,0.02884292901062046
NA,ABCA12,NM_173076.3,TRUE,0.582,NA,15,34539627,0.7985777880557322
NA,ABCA12,NM_173076.3,TRUE,0.582,NA,9,24220355,0.08973330040745771
NA,ABCA12,NM_173076.3,TRUE,0.582,NA,0,32831351,0.9501221881070242
chr2,ABCA12,ENST00000272895,TRUE,0.582,1,1,16528474,0.02884292901062046
chr2,ABCA12,ENST00000272895,TRUE,0.582,1,15,34539627,0.7985777880557322
chr2,ABCA12,ENST00000272895,TRUE,0.582,1,9,24220355,0.08973330040745771
chr2,ABCA12,ENST00000272895,TRUE,0.582,1,0,32831351,0.9501221881070242
