gene,gene_id,transcript,lof.oe_ci.upper,leiden,rowsum,norm_rank,har_id,chr,start,end,overlap_width
AGAP1,116987,NM_001037131.3,0.366,0,33714262,0.9766902688138356,ZOOHAR.1,2,235865386,235865436,51
AGAP1,ENSG00000157985,ENST00000304032,0.366,0,33714262,0.9766902688138356,ZOOHAR.1,2,235865386,235865436,51
AKAP6,9472,NM_004274.5,0.367,15,35598512,0.8901254552812626,ZOOHAR.120,14,32641925,32642197,273
AKAP6,ENSG00000151320,ENST00000280979,0.367,15,35598512,0.8901254552812626,ZOOHAR.120,14,32641925,32642197,273
CCNE1,898,NM_001238.4,0.366,1,59703616,0.9956959195081052,ZOOHAR.130,19,29812386,29812480,95
CCNE1,898,NM_001238.4,0.366,9,33213910,0.8565254969749352,ZOOHAR.130,19,29812386,29812480,95
CCNE1,898,NM_001238.4,0.366,11,40816742,0.8117852515351248,ZOOHAR.130,19,29812386,29812480,95
CCNE1,ENSG00000105173,ENST00000262643,0.366,1,59703616,0.9956959195081052,ZOOHAR.130,19,29812386,29812480,95
CCNE1,ENSG00000105173,ENST00000262643,0.366,9,33213910,0.8565254969749352,ZOOHAR.130,19,29812386,29812480,95
CCNE1,ENSG00000105173,ENST00000262643,0.366,11,40816742,0.8117852515351248,ZOOHAR.130,19,29812386,29812480,95
CDC27,996,NM_001256.6,0.38,11,41997881,0.8321784688186581,ZOOHAR.76,17,47119431,47119715,285
CDC27,ENSG00000004897,ENST00000066544,0.38,11,41997881,0.8321784688186581,ZOOHAR.76,17,47119431,47119715,285
CHD7,55636,NM_017780.4,0.109,1,56699388,0.9858021240916712,ZOOHAR.28,8,60782028,60782167,140
CHD7,55636,NM_017780.4,0.109,9,32839725,0.8383133720212372,ZOOHAR.28,8,60782028,60782167,140
CHD7,55636,NM_017780.4,0.109,0,30147675,0.8169058211667398,ZOOHAR.28,8,60782028,60782167,140
CHD7,ENSG00000171316,ENST00000423902,0.109,1,56699388,0.9858021240916712,ZOOHAR.28,8,60782028,60782167,140
CHD7,ENSG00000171316,ENST00000423902,0.109,9,32839725,0.8383133720212372,ZOOHAR.28,8,60782028,60782167,140
CHD7,ENSG00000171316,ENST00000423902,0.109,0,30147675,0.8169058211667398,ZOOHAR.28,8,60782028,60782167,140
GALNT1,2589,NM_020474.4,0.359,9,39049889,0.9895048771453264,ZOOHAR.111,18,35581701,35581856,156
GALNT1,2589,NM_020474.4,0.359,11,45740253,0.8849078925130979,ZOOHAR.111,18,35581701,35581856,156
GALNT1,ENSG00000141429,ENST00000269195,0.359,9,39049889,0.9895048771453264,ZOOHAR.111,18,35581701,35581856,156
GALNT1,ENSG00000141429,ENST00000269195,0.359,11,45740253,0.8849078925130979,ZOOHAR.111,18,35581701,35581856,156
HECTD1,25831,NM_015382.4,0.265,1,45180223,0.8624930128563443,ZOOHAR.27,14,31100112,31100271,160
HECTD1,25831,NM_015382.4,0.265,15,35020563,0.8443082615482453,ZOOHAR.27,14,31100112,31100271,160
HECTD1,25831,NM_015382.4,0.265,9,32757948,0.8331892826274849,ZOOHAR.27,14,31100112,31100271,160
HECTD1,ENSG00000092148,ENST00000399332,0.265,1,45180223,0.8624930128563443,ZOOHAR.27,14,31100112,31100271,160
