chromosome,gene,transcript,canonical,lof.oe_ci.upper,lof.oe_ci.upper_bin_decile,trimester,group,uni_prot,protein,rowsum,rank,norm_rank
NA,A2M,NM_000014.6,TRUE,0.765,NA,Second,Control,P01023,a2-Macroglobulin,83870,218,0.1871244635193133
NA,A2M,NM_000014.6,TRUE,0.765,NA,Second,sPTD,P01023,a2-Macroglobulin,157210,730,0.6266094420600858
NA,A2M,NM_000014.6,TRUE,0.765,NA,Second,PPROM,P01023,a2-Macroglobulin,95773,216.5,0.18583690987124463
NA,A2M,NM_000014.6,TRUE,0.765,NA,Third,Control,P01023,a2-Macroglobulin,118124,340,0.2918454935622318
NA,A2M,NM_000014.6,TRUE,0.765,NA,Third,sPTD,P01023,a2-Macroglobulin,130246,537,0.4609442060085837
NA,A2M,NM_000014.6,TRUE,0.765,NA,Third,PPROM,P01023,a2-Macroglobulin,253807,593,0.5090128755364807
chr12,A2M,ENST00000318602,TRUE,0.765,3,Second,Control,P01023,a2-Macroglobulin,83870,218,0.1871244635193133
chr12,A2M,ENST00000318602,TRUE,0.765,3,Second,sPTD,P01023,a2-Macroglobulin,157210,730,0.6266094420600858
chr12,A2M,ENST00000318602,TRUE,0.765,3,Second,PPROM,P01023,a2-Macroglobulin,95773,216.5,0.18583690987124463
chr12,A2M,ENST00000318602,TRUE,0.765,3,Third,Control,P01023,a2-Macroglobulin,118124,340,0.2918454935622318
chr12,A2M,ENST00000318602,TRUE,0.765,3,Third,sPTD,P01023,a2-Macroglobulin,130246,537,0.4609442060085837
chr12,A2M,ENST00000318602,TRUE,0.765,3,Third,PPROM,P01023,a2-Macroglobulin,253807,593,0.5090128755364807
NA,ABL1,NM_005157.6,TRUE,0.19,NA,Second,Control,P00519,ABL1,386004,1118,0.959656652360515
NA,ABL1,NM_005157.6,TRUE,0.19,NA,Second,sPTD,P00519,ABL1,144138,661,0.567381974248927
NA,ABL1,NM_005157.6,TRUE,0.19,NA,Second,PPROM,P00519,ABL1,283380,899.5,0.7721030042918455
NA,ABL1,NM_005157.6,TRUE,0.19,NA,Third,Control,P00519,ABL1,357361,1139,0.9776824034334765
NA,ABL1,NM_005157.6,TRUE,0.19,NA,Third,sPTD,P00519,ABL1,51088,205,0.1759656652360515
NA,ABL1,NM_005157.6,TRUE,0.19,NA,Third,PPROM,P00519,ABL1,157211,155.5,0.1334763948497854
chr9,ABL1,ENST00000318560,TRUE,0.19,0,Second,Control,P00519,ABL1,386004,1118,0.959656652360515
chr9,ABL1,ENST00000318560,TRUE,0.19,0,Second,sPTD,P00519,ABL1,144138,661,0.567381974248927
chr9,ABL1,ENST00000318560,TRUE,0.19,0,Second,PPROM,P00519,ABL1,283380,899.5,0.7721030042918455
chr9,ABL1,ENST00000318560,TRUE,0.19,0,Third,Control,P00519,ABL1,357361,1139,0.9776824034334765
chr9,ABL1,ENST00000318560,TRUE,0.19,0,Third,sPTD,P00519,ABL1,51088,205,0.1759656652360515
chr9,ABL1,ENST00000318560,TRUE,0.19,0,Third,PPROM,P00519,ABL1,157211,155.5,0.1334763948497854
NA,ABL2,NM_007314.4,TRUE,0.578,NA,Second,Control,P42684,ABL2,305320,816,0.7004291845493562
NA,ABL2,NM_007314.4,TRUE,0.578,NA,Second,sPTD,P42684,ABL2,226806,1027,0.8815450643776824
NA,ABL2,NM_007314.4,TRUE,0.578,NA,Second,PPROM,P42684,ABL2,244655,618,0.5304721030042918
NA,ABL2,NM_007314.4,TRUE,0.578,NA,Third,Control,P42684,ABL2,277555,849,0.728755364806867
NA,ABL2,NM_007314.4,TRUE,0.578,NA,Third,sPTD,P42684,ABL2,226057,815,0.6995708154506438
NA,ABL2,NM_007314.4,TRUE,0.578,NA,Third,PPROM,P42684,ABL2,350264,791.5,0.6793991416309013
chr1,ABL2,ENST00000502732,TRUE,0.578,1,Second,Control,P42684,ABL2,305320,816,0.7004291845493562
chr1,ABL2,ENST00000502732,TRUE,0.578,1,Second,sPTD,P42684,ABL2,226806,1027,0.8815450643776824
chr1,ABL2,ENST00000502732,TRUE,0.578,1,Second,PPROM,P42684,ABL2,244655,618,0.5304721030042918
chr1,ABL2,ENST00000502732,TRUE,0.578,1,Third,Control,P42684,ABL2,277555,849,0.728755364806867
chr1,ABL2,ENST00000502732,TRUE,0.578,1,Third,sPTD,P42684,ABL2,226057,815,0.6995708154506438
chr1,ABL2,ENST00000502732,TRUE,0.578,1,Third,PPROM,P42684,ABL2,350264,791.5,0.6793991416309013
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,Second,Control,P16112,Aggrecan,221001,596,0.511587982832618
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,Second,sPTD,P16112,Aggrecan,73482,220,0.1888412017167382
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,Second,PPROM,P16112,Aggrecan,179723,507,0.4351931330472103
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,Third,Control,P16112,Aggrecan,201528,615,0.5278969957081545
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,Third,sPTD,P16112,Aggrecan,33927,124,0.10643776824034334
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,Third,PPROM,P16112,Aggrecan,350264,791.5,0.6793991416309013
chr15,ACAN,ENST00000560601,TRUE,0.377,0,Second,Control,P16112,Aggrecan,221001,596,0.511587982832618
chr15,ACAN,ENST00000560601,TRUE,0.377,0,Second,sPTD,P16112,Aggrecan,73482,220,0.1888412017167382
chr15,ACAN,ENST00000560601,TRUE,0.377,0,Second,PPROM,P16112,Aggrecan,179723,507,0.4351931330472103
chr15,ACAN,ENST00000560601,TRUE,0.377,0,Third,Control,P16112,Aggrecan,201528,615,0.5278969957081545
chr15,ACAN,ENST00000560601,TRUE,0.377,0,Third,sPTD,P16112,Aggrecan,33927,124,0.10643776824034334
chr15,ACAN,ENST00000560601,TRUE,0.377,0,Third,PPROM,P16112,Aggrecan,350264,791.5,0.6793991416309013
NA,ACP1,NM_004300.4,TRUE,1.547,NA,Second,Control,P24666,PPAC,57324,142,0.12188841201716738
NA,ACP1,NM_004300.4,TRUE,1.547,NA,Second,sPTD,P24666,PPAC,220432,1004,0.8618025751072962
NA,ACP1,NM_004300.4,TRUE,1.547,NA,Second,PPROM,P24666,PPAC,81558,31.5,0.02703862660944206
NA,ACP1,NM_004300.4,TRUE,1.547,NA,Third,Control,P24666,PPAC,88502,240,0.20600858369098712
NA,ACP1,NM_004300.4,TRUE,1.547,NA,Third,sPTD,P24666,PPAC,244090,886,0.7605150214592274
NA,ACP1,NM_004300.4,TRUE,1.547,NA,Third,PPROM,P24666,PPAC,350264,791.5,0.6793991416309013
chr2,ACP1,ENST00000272065,TRUE,1.547,8,Second,Control,P24666,PPAC,57324,142,0.12188841201716738
chr2,ACP1,ENST00000272065,TRUE,1.547,8,Second,sPTD,P24666,PPAC,220432,1004,0.8618025751072962
chr2,ACP1,ENST00000272065,TRUE,1.547,8,Second,PPROM,P24666,PPAC,81558,31.5,0.02703862660944206
chr2,ACP1,ENST00000272065,TRUE,1.547,8,Third,Control,P24666,PPAC,88502,240,0.20600858369098712
chr2,ACP1,ENST00000272065,TRUE,1.547,8,Third,sPTD,P24666,PPAC,244090,886,0.7605150214592274
chr2,ACP1,ENST00000272065,TRUE,1.547,8,Third,PPROM,P24666,PPAC,350264,791.5,0.6793991416309013
NA,ACP5,NM_001611.5,TRUE,1.14,NA,Second,Control,P13686,TrATPase,129654,380,0.3261802575107296
NA,ACP5,NM_001611.5,TRUE,1.14,NA,Second,sPTD,P13686,TrATPase,128687,580,0.4978540772532189
NA,ACP5,NM_001611.5,TRUE,1.14,NA,Second,PPROM,P13686,TrATPase,92162,157,0.13476394849785409
NA,ACP5,NM_001611.5,TRUE,1.14,NA,Third,Control,P13686,TrATPase,94101,258,0.22145922746781116
NA,ACP5,NM_001611.5,TRUE,1.14,NA,Third,sPTD,P13686,TrATPase,244191,888,0.7622317596566524
NA,ACP5,NM_001611.5,TRUE,1.14,NA,Third,PPROM,P13686,TrATPase,144969,39.5,0.03390557939914163
chr19,ACP5,ENST00000648477,TRUE,1.14,6,Second,Control,P13686,TrATPase,129654,380,0.3261802575107296
chr19,ACP5,ENST00000648477,TRUE,1.14,6,Second,sPTD,P13686,TrATPase,128687,580,0.4978540772532189
chr19,ACP5,ENST00000648477,TRUE,1.14,6,Second,PPROM,P13686,TrATPase,92162,157,0.13476394849785409
chr19,ACP5,ENST00000648477,TRUE,1.14,6,Third,Control,P13686,TrATPase,94101,258,0.22145922746781116
chr19,ACP5,ENST00000648477,TRUE,1.14,6,Third,sPTD,P13686,TrATPase,244191,888,0.7622317596566524
chr19,ACP5,ENST00000648477,TRUE,1.14,6,Third,PPROM,P13686,TrATPase,144969,39.5,0.03390557939914163
NA,ACVR1B,NM_004302.5,TRUE,0.403,NA,Second,Control,P36896,Activin RIB,339260,916,0.7862660944206008
NA,ACVR1B,NM_004302.5,TRUE,0.403,NA,Second,sPTD,P36896,Activin RIB,130334,586,0.5030042918454936
NA,ACVR1B,NM_004302.5,TRUE,0.403,NA,Second,PPROM,P36896,Activin RIB,268302,752,0.6454935622317597
NA,ACVR1B,NM_004302.5,TRUE,0.403,NA,Third,Control,P36896,Activin RIB,271246,820,0.703862660944206
NA,ACVR1B,NM_004302.5,TRUE,0.403,NA,Third,sPTD,P36896,Activin RIB,127740,525,0.45064377682403434
NA,ACVR1B,NM_004302.5,TRUE,0.403,NA,Third,PPROM,P36896,Activin RIB,157211,155.5,0.1334763948497854
chr12,ACVR1B,ENST00000257963,TRUE,0.403,1,Second,Control,P36896,Activin RIB,339260,916,0.7862660944206008
chr12,ACVR1B,ENST00000257963,TRUE,0.403,1,Second,sPTD,P36896,Activin RIB,130334,586,0.5030042918454936
chr12,ACVR1B,ENST00000257963,TRUE,0.403,1,Second,PPROM,P36896,Activin RIB,268302,752,0.6454935622317597
chr12,ACVR1B,ENST00000257963,TRUE,0.403,1,Third,Control,P36896,Activin RIB,271246,820,0.703862660944206
chr12,ACVR1B,ENST00000257963,TRUE,0.403,1,Third,sPTD,P36896,Activin RIB,127740,525,0.45064377682403434
chr12,ACVR1B,ENST00000257963,TRUE,0.403,1,Third,PPROM,P36896,Activin RIB,157211,155.5,0.1334763948497854
NA,ACVRL1,NM_000020.3,TRUE,0.57,NA,Second,Control,P37023,ALK-1,144607,417,0.3579399141630901
